Chi(proportion),T_avg UE(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Proportion of UE active,Eff chi mean BSs,Eff chi active UEs,T_Avg Active UE(kBps)
0.8,114.07634260643637,8.669802038089154E-6,0.047311342310951576,0.0,0.952688657689049,4.2693569880357,0.9456736842105319,0.05432631578947377,0.6213102702702687,0.043461052631578324,2099.5457030305297
0.62,153.83547747647145,8.768622216158857E-6,0.0632553572620354,0.0,0.936744642737964,4.273132385449456,0.9273578947368432,0.07264210526315809,0.47951604324324737,0.04503810526315787,2118.095764578466
0.42,229.29127240133704,8.713068351250825E-6,0.09446786545917947,0.0,0.90553213454082,4.266893462629202,0.8915789473684271,0.10842105263157904,0.32215907027027274,0.045536842105263195,2114.8913813066497
0.28,328.4062046763035,8.735605044389658E-6,0.13414747861752,0.0,0.8658525213824803,4.259451724685635,0.8457368421052772,0.15426315789473716,0.21275974054054006,0.04319368421052569,2129.040597608424
0.19,570.2534673639145,8.6678527039315E-6,0.23404500919459162,0.0,0.7659549908054095,4.253862365158319,0.7314736842105276,0.26852631578947234,0.14253450810810883,0.051019999999999635,2123.675374271484
0.15,755.3064904659751,8.61049399131212E-6,0.310167042088004,0.0,0.6898329579119956,4.245390268235681,0.6440175438596475,0.35598245614035295,0.11124551351351265,0.05339736842105278,2122.121277989595
0.14,757.3277149021052,8.633535949884006E-6,0.31123342336679993,0.0,0.688766576633199,4.249616783920291,0.6430526315789461,0.35694736842105435,0.10389241081081062,0.04997263157894741,2121.32125485225
0.18,570.6265063110246,8.673522895927588E-6,0.23424178291424866,0.0,0.765758217085752,4.254247151420067,0.7314078947368443,0.26859210526315686,0.1347849729729723,0.048346578947368775,2125.2273693806915
0.26,380.59908753872446,8.67765919588294E-6,0.1566795262890212,0.0,0.8433204737109782,4.259752285464735,0.8201578947368454,0.1798421052631588,0.1969217513513493,0.04675894736842087,2116.713675576774
0.39,254.274565414257,8.69619013716759E-6,0.10472395051164449,0.0,0.8952760494883566,4.264061159838744,0.8796900584795355,0.12030994152047003,0.2979220540540555,0.04692087719298231,2113.0044106297405
0.51,191.77703433353784,8.745032765609335E-6,0.07902891523976116,0.0,0.9209710847602387,4.271242606887916,0.909403508771931,0.09059649122807059,0.39300544864864895,0.04620421052631604,2116.838651277253
0.59,163.97845757004697,8.72365394272649E-6,0.0673808858458805,0.0,0.9326191141541188,4.267053255552434,0.9224398496240588,0.07756015037594007,0.456095513513515,0.04576048872180474,2114.410787597043
0.64,144.09971311439867,8.761262557355443E-6,0.05902684857586771,0.0,0.9409731514241318,4.267867875346403,0.9321217105263181,0.06787828947368373,0.4941298162162202,0.0434421052631573,2122.849736945826
0.65,142.52646256467978,8.665608923932538E-6,0.05882222859624351,0.0,0.9411777714037572,4.26323049001848,0.9323322368421091,0.06766776315789429,0.5023712972973015,0.043984046052631634,2106.9678570336755
0.68,135.16970031136321,8.731962640114055E-6,0.055658385602289584,0.0,0.9443416143977101,4.269322152334589,0.9361114551083722,0.06388854489164049,0.5264655567567569,0.04344421052631517,2116.0123350029257
0.72,127.48877436981849,8.72023216689558E-6,0.052456511899507036,0.0,0.9475434881004918,4.266312471656209,0.9397602339181382,0.06023976608187238,0.5579517405405379,0.04337263157894677,2116.6649852076484
0.75,127.4183948340692,8.71541820665033E-6,0.052635225490078735,0.0,0.9473647745099208,4.270505434109955,0.9396111111111207,0.0603888888888899,0.5818467567567569,0.04529166666666693,2109.766878152768
0.78,120.88246873380014,8.72771424258038E-6,0.049765622032281534,0.0,0.9502343779677184,4.269848353205903,0.9427590027700777,0.057240997229917004,0.6048642810810829,0.04464797783933507,2111.280426742967
0.8,115.21339230691505,8.756217815325549E-6,0.04736171736592999,0.0,0.9526382826340712,4.273415703148701,0.9454578947368474,0.05454210526315807,0.622099027027026,0.04363368421052573,2112.328798685257
0.85,109.49204948691433,8.73746554905575E-6,0.045095836625220834,0.0,0.9549041633747787,4.271902231844344,0.9481303258145435,0.051869674185464384,0.66120718918918,0.04408922305764431,2110.4814634887625
0.93,100.23510344335321,8.760548040949062E-6,0.04120737409172795,0.0,0.958792625908272,4.272650208990326,0.952610983981689,0.0473890160183063,0.7236485837837807,0.04407178489702565,2114.561837578467
0.99,95.93021188109729,8.748835323556063E-6,0.03935764937575626,0.0,0.9606423506242434,4.270426021512202,0.9546074561403488,0.045392543859649304,0.7710676540540521,0.04493861842105277,2113.364424689136
1.0,91.80366320557854,8.721348004529958E-6,0.03797560369699079,0.0,0.9620243963030092,4.273155933661233,0.9564505263157984,0.043549473684209916,0.7800475675675589,0.043549473684209916,2108.4411212333343
0.9400000000000001,99.72732059797384,8.716167820262909E-6,0.0411709655917975,0.0,0.9588290344082026,4.268643370779083,0.9528558352402702,0.047144164759724966,0.7316807567567541,0.04431551487414184,2115.1454549348355
