Chi(proportion),T_avg UE(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Proportion of UE active,Eff chi mean BSs,Eff chi active UEs,T_Avg Active UE(kBps)
0.8,409.27969791978927,3.1105257041903985E-5,0.22861035295717844,0.0,0.7713896470428221,6.771818640966406,0.6315710526315784,0.36842894736842213,0.7587009729729804,0.29474315789473665,1110.9331100982076
0.62,543.689542893435,3.099030394492572E-5,0.3039597964403331,0.0,0.6960402035596671,6.766346906638721,0.511550877192981,0.4884491228070189,0.5795438270270273,0.3028384561403505,1113.1296226989432
0.42,806.3084736704094,3.0639721999475555E-5,0.4515677485637767,0.0,0.5484322514362234,6.747755710231709,0.27976842105263167,0.7202315789473697,0.37517351351351347,0.3024972631578942,1119.7073897339187
0.28,1084.9778186913886,2.8860409977191015E-5,0.6037376536381805,102.70257529533038,0.3962623463618202,6.640869613408758,0.05386466165413542,0.9461353383458517,0.22277072432432468,0.2649178947368421,1146.7626002604964
0.19,1282.2047276100611,1.948951185967292E-5,0.6841394960401656,426.4289836027676,0.3158605039598335,5.970445450126652,0.0,1.0,0.09119938378378432,0.1899999999999982,1282.2047276100611
0.15,1342.4303038684718,1.5303705464100588E-5,0.7114960518723674,482.3821640749854,0.28850394812763164,5.586032327133845,0.0,1.0,0.054000000000000443,0.15000000000000283,1342.4303038684718
0.14,1345.2807400209813,1.533620043623918E-5,0.7090628680192437,482.002252777779,0.2909371319807559,5.583360274384581,0.0,1.0,0.05040000000000109,0.13999999999999932,1345.2807400209813
0.18,1269.3453247648422,1.9294048936425576E-5,0.6849920128468782,422.8694358046776,0.31500798715312195,5.972666835187766,0.0,1.0,0.08639999999999864,0.1800000000000043,1269.3453247648422
0.26,1170.422733679613,2.6685638327895115E-5,0.6400409078697894,322.70739430838626,0.3599590921302103,6.495798373024788,0.00905263157894738,0.9909473684210592,0.18515344864864794,0.2576463157894697,1181.1498554923755
0.39,890.3734065948754,3.0450770505544738E-5,0.49833456833055684,0.0,0.5016654316694432,6.733751558269166,0.20895906432748904,0.7910409356725179,0.3412807783783782,0.308505964912285,1125.5345327079463
0.51,677.888580019584,3.091171924889301E-5,0.37851103601667946,0.0,0.6214889639833207,6.759348016215633,0.3932149122807023,0.6067850877192974,0.46746710270270203,0.3094603947368417,1117.2681566483218
0.59,582.4549205752849,3.098660177460515E-5,0.3253139295713468,0.0,0.674686070428653,6.764187062199918,0.47737969924811496,0.522620300751885,0.5485526594594596,0.308345977443609,1114.5596351304039
0.64,509.00650843272126,3.094759571270952E-5,0.2851680452616426,0.0,0.714831954738357,6.766328006741851,0.5420394736842095,0.45796052631578976,0.6004597621621621,0.29309473684210485,1111.5933221530597
0.65,508.5007962017902,3.0916848409068795E-5,0.2859209449376945,0.0,0.7140790550623054,6.769340880532946,0.5413190789473676,0.45868092105263214,0.6101750270270279,0.29814259868421034,1108.7915676975113
0.68,479.9297618580371,3.1003462616029205E-5,0.2680533944560303,0.0,0.7319466055439702,6.766022354471913,0.5685448916408674,0.4314551083591335,0.6405445621621637,0.2933894736842102,1112.4656385861235
0.72,452.6272465640029,3.095970366497774E-5,0.25297789941533216,0.0,0.7470221005846668,6.765756187866928,0.5927923976608153,0.4072076023391838,0.6798722594594594,0.29318947368421006,1111.4985982142218
0.75,451.7373032303502,3.0898831540956014E-5,0.2548359943426948,0.0,0.7451640056573046,6.77030802671817,0.5924590643274816,0.40754093567251726,0.7076310810810796,0.30565570175438556,1108.463453143445
0.78,426.28742654677836,3.077795219667738E-5,0.24105616718779255,0.0,0.758943832812207,6.770877064440277,0.6135457063711913,0.38645429362880973,0.7384053405405407,0.30143434903047117,1103.0397397547547
0.8,407.0756909445766,3.0937752511787873E-5,0.22943076140748866,0.0,0.7705692385925123,6.7738095123446875,0.6318815789473703,0.36811842105263193,0.758246918918927,0.2944947368421051,1105.8476968562918
0.85,387.5613882122322,3.0927398779336156E-5,0.217968604513189,0.0,0.7820313954868126,6.770866165994762,0.6499573934837068,0.35004260651629016,0.8073630810810876,0.29753621553884774,1107.1759899563244
0.93,353.23116754932045,3.087240404381057E-5,0.19965805072614104,0.0,0.8003419492738599,6.773760266934233,0.6799702517162461,0.32002974828375313,0.8864146702702689,0.2976276659038914,1103.8070424943376
0.99,340.1005687457552,3.101717186961285E-5,0.19014001424200958,0.0,0.8098599857579897,6.767106801896142,0.6941403508771933,0.30585964912280633,0.9442994594594567,0.3028010526315804,1111.951382976176
1.0,326.8076588774443,3.10467275933572E-5,0.18320673591737952,0.0,0.8167932640826203,6.7712412545012395,0.7054442105263138,0.2945557894736839,0.9552129729729715,0.2945557894736839,1109.5947047744853
0.9400000000000001,354.7150120461412,3.1002092052832735E-5,0.19879671893708958,0.0,0.8012032810629099,6.770299898705756,0.6800709382151011,0.3199290617848968,0.8961258810810816,0.3007333180778027,1108.7998469823474
