Chi(%),Avg UE Throughput(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0
0.030000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0
0.04,1014.1110813989255,3.853622109315917E-6,0.717904735750747,208.60164243223215,0.38209526424925305,4.288282878045273
0.045,1013.5230778733949,3.8513876959188995E-6,0.6649871757883168,211.38537929273556,0.43501282421168314,4.227427894168825
0.049999999999999996,1032.6227603567202,3.923966489355538E-6,0.7187400976405716,217.55842217051776,0.38125990235942847,4.292873364201892
0.05499999999999999,906.3911192410736,3.44428625311608E-6,0.7070896927248801,250.7808689925288,0.39291030727511983,4.287516124774762
0.05999999999999999,990.1010082608776,3.762383831391334E-6,0.7349227359248572,196.33604941589456,0.3650772640751427,4.304602182630768
0.06499999999999999,1022.6758856217891,3.886168365362799E-6,0.7383917174326291,228.7794785444592,0.36160828256737065,4.320225363833165
0.06999999999999999,1071.9416327878791,4.0733782045939395E-6,0.637694629067212,237.25042498145416,0.46230537093278806,4.202540157480534
0.075,944.2040991328686,3.5879755767049014E-6,0.6868518689315455,200.53817841558043,0.41314813106845455,4.275899289686746
0.08,968.7451110037421,7.36246284362844E-6,0.7152195073598412,231.82608922457416,0.3847804926401589,5.398425111118326
0.085,1066.4986334413056,8.105389614153926E-6,0.6816836802965445,255.9436437138499,0.4183163197034556,5.360770465980059
0.09000000000000001,1023.7108971705953,7.780202818496522E-6,0.691530871364081,242.90701462720403,0.40846912863591883,5.364656674705026
0.09500000000000001,1049.013521898877,7.972502766431461E-6,0.6604001957702026,230.6416849786421,0.43959980422979744,5.3394857734895345
0.10000000000000002,1074.3296391246138,8.164905257347065E-6,0.6726939230973288,257.6605805879919,0.4273060769026712,5.34649249348228
0.10500000000000002,941.3863143729061,7.154535989234084E-6,0.6395730742253394,227.68535518856925,0.46042692577466066,5.320468246497562
0.11000000000000003,1081.9864832645735,8.22309727281076E-6,0.6749966709665549,266.09536989143476,0.42500332903344507,5.367757234344706
0.11500000000000003,1106.4913920828983,8.409334579830028E-6,0.6966111966417705,242.8913922886987,0.40338880335822946,5.379899364207275
0.12000000000000004,1032.7939273669501,1.1773850771983232E-5,0.7130499366716918,242.28804239077476,0.38695006332830806,6.04284573573732
0.12500000000000003,1010.738408561648,1.1522417857602787E-5,0.6847806478532008,237.01249268702554,0.41521935214679917,6.00327070155058
0.13000000000000003,1026.0810886397364,1.1697324410492998E-5,0.6607287837772995,226.70883873817743,0.43927121622270054,5.986734636617728
0.13500000000000004,986.0294556984118,1.1240735794961893E-5,0.7186309470637535,260.782716930798,0.3813690529362466,6.061235986216935
0.14000000000000004,996.2008157370086,1.13566892994019E-5,0.6996643234684298,258.0527949221148,0.40033567653157026,6.035195436001837
0.14500000000000005,977.041802610087,1.113827654975499E-5,0.7107355485104166,260.0331257891336,0.3892644514895833,6.048253055650571
0.15000000000000005,1040.879834026193,1.1866030107898599E-5,0.6572037061948808,240.95103643982006,0.44279629380511915,5.980056562161993
0.15500000000000005,979.247703591716,1.116342382094556E-5,0.6169742586659288,226.37621277054285,0.48302574133407117,5.943860938846649
0.16000000000000006,1056.2382938705184,1.6054822066831876E-5,0.6353593843953345,242.31331654151995,0.4646406156046658,6.4066808541904
0.16500000000000006,1009.0040662561344,1.5336861807093242E-5,0.6301451920643826,251.88911378871208,0.4698548079356174,6.419808000435961
0.17000000000000007,1019.2670277894313,1.5492858822399356E-5,0.6676230488494153,237.31609503590147,0.4323769511505848,6.443398136200413
0.17500000000000007,1069.5293747785768,1.6256846496634366E-5,0.6500955077338972,251.47295827584702,0.4499044922661029,6.433258424338523
0.18000000000000008,1041.8280115264968,1.583578577520275E-5,0.6569153520655372,247.18573254789166,0.4430846479344629,6.440837349917468
0.18500000000000008,1016.1595602392301,1.54456253156363E-5,0.6288674348447,234.2484160730084,0.4711325651553001,6.4234840373261175
0.19000000000000009,989.8158934726678,1.5045201580784548E-5,0.6757309253254821,235.1857114422915,0.4242690746745179,6.457786462963649
0.1950000000000001,1062.156049827825,1.614477195738294E-5,0.6460690269348639,251.70014717047903,0.4539309730651359,6.427911034052171
0.2000000000000001,1020.5650053295631,1.9390735101261697E-5,0.6149703763539021,245.11611011264273,0.485029623646098,6.747586654098944
0.2050000000000001,1003.0080116529401,1.9057152221405864E-5,0.6701327953366066,245.3060408803871,0.4298672046633933,NaN
