Distance(m),T_avg (kBps)
0.1,7670.801571821343
10.1,3788.0777074021885
20.1,3257.2537358861528
30.1,2799.0146820602413
40.1,2529.4245086828882
50.1,2392.4769546326197
60.1,2168.5127878539897
70.1,2037.7599008486068
80.1,1926.43086250065
90.1,1803.0994095388246
100.1,1665.8169467682765
110.1,1628.8926752577559
120.1,1588.6279079848973
130.1,1526.5372477569567
140.1,1417.3549093985057
150.1,1394.3282847195192
160.1,1383.4779949889435
170.1,1297.2140817582786
180.1,1304.5710501886313
190.1,1237.1790282862623
200.1,1146.109886962529
210.1,1116.1658576888542
220.1,1114.4726350060596
230.1,1079.5474133711248
240.1,1057.701236965181
250.1,987.8986868184726
260.1,942.8558581517316
270.1,957.4709155544126
280.1,933.2318550747007
290.1,894.8384325899681
300.1,860.1041458707532
310.1,861.828768040528
320.1,816.8695736420331
330.1,804.3729490931098
340.1,793.6551668149601
350.1,747.5524346167613
360.1,700.2566557928465
370.1,696.3676244594519
380.1,682.3431928676221
390.1,636.6600739248872
400.1,646.8252920992314
410.1,641.1345876318829
420.1,637.3888526093008
430.1,657.5557873229943
440.1,627.0252372347244
450.1,600.372292083254
460.1,569.9907218502523
470.1,547.4554407999892
480.1,565.5467116041967
490.1,562.2388620365264
500.1,542.660529035915
510.1,521.3035577440561
520.1,497.2695245704129
530.1,509.13369324639405
540.1,470.7076742347593
550.1,495.4406088501519
560.1,470.14089933044426
570.1,465.95580124327853
580.1,456.93336895493286
590.1,444.978324330084
600.1,433.18832832282516
610.1,423.13027901573986
620.1,427.8993403150409
630.1,433.0626326525038
640.1,423.1841253162982
650.1,416.59002419986575
660.1,420.80398452565566
670.1,401.7397810994085
680.1,399.88781047454466
690.1,405.3129325744022
700.1,402.5432700238668
710.1,391.6864375600553
720.1,396.13133698968284
730.1,394.57058498517233
740.1,381.9633138100764
750.1,380.21092983900763
760.1,367.3785877146162
770.1,377.910331728014
780.1,365.517665007941
790.1,360.2058660624601
800.1,369.86508939561884
