Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8853.496388710624,8615.441603416233,8526.437718584368,8433.517576577127,8388.296507566325,8328.527718936944,8296.72374640842,8255.150804256331,8230.415044629886,8208.302117278565,
10.1,4572.096146880193,4332.2234848161015,4244.896717171097,4151.0461957570815,4104.836055201617,4046.697230057032,4015.5141955378895,3972.8374728497247,3946.064793024406,3923.915960899559,
20.1,3928.674625056027,3691.960817441571,3605.5052125967754,3512.6583073297707,3465.286729085205,3409.593701187726,3376.4387725262386,3332.5764945864585,3308.790361828266,3285.128000768592,
30.1,3561.462381351729,3319.2769337759087,3230.9295995315792,3136.420047029303,3090.10388406183,3033.4514984029674,3001.341228607544,2958.699973360721,2932.454313388449,2912.3099017898758,
40.1,3292.1261564648066,3048.7511854861023,2967.6323472253916,2872.236401036272,2823.7230293095126,2767.047770302712,2733.6661436564573,2693.090179131945,2666.888637111042,2642.879604472317,
50.1,3076.6112153909753,2847.167133255579,2756.976612427617,2663.488250970374,2617.5681852744383,2560.2095920697852,2526.015808832277,2485.318766966992,2459.60575120882,2437.8095470793005,
60.1,2916.848396294006,2676.1415709282282,2589.2563740627197,2494.941550683163,2449.1068526598815,2391.302967526627,2359.3612084266233,2316.54968334147,2291.0877091590146,2269.2842743868005,
70.1,2773.778690742425,2530.469490663172,2444.1505945012373,2352.606068186949,2304.780398427287,2248.0735939015085,2215.2050541478848,2173.171810544526,2149.520111488624,2125.645379692992,
80.1,2645.737668633591,2408.9238543760002,2324.1355662030383,2230.07055794048,2180.549398997993,2124.833974435956,2092.2381042257775,2050.534652145575,2024.7500955403293,2002.254613774601,
90.1,2537.7714161865833,2300.9720120033226,2211.064137911874,2121.951525124496,2072.1055570706135,2015.9803402617388,1982.072064860919,1941.5582897006739,1916.694306561023,1893.294168484342,
100.1,2436.5223431170875,2198.7868642259946,2116.3074365769744,2022.1362408301877,1974.602862515383,1918.6034990360986,1885.2124921314435,1843.8223720993383,1819.9458333575046,1797.0304277161586,
110.1,2347.694253197082,2114.757278177969,2025.9165219884078,1935.1851607979627,1888.3091676927563,1830.6391378034718,1797.6847468412982,1755.9399187457705,1730.1544115441345,1709.0294832840843,
120.1,2271.342489688915,2031.1243744233088,1943.0260835312126,1851.834726282423,1805.0900851856168,1748.2746165629017,1717.3752662735596,1674.2272589791942,1650.5347845903505,1628.1173204074423,
130.1,2199.56020815938,1958.2514540456552,1870.4547156943656,1780.6278399900386,1732.3164037993997,1674.9722566371977,1642.1333043356126,1600.3933731960044,1576.2205694945803,1553.0079183487605,
140.1,2128.435930709512,1886.3722710185777,1800.5940459620433,1711.6030764293314,1666.8095059648479,1609.7737827422077,1573.1764540270435,1531.9516623926481,1508.2508953548352,1485.778541990963,
150.1,2060.1706724953956,1823.868362843919,1738.8961037664615,1646.7624526562727,1600.2191484964624,1541.6921883399366,1510.1972040399244,1468.9160747728465,1446.205538735966,1422.8045831376353,
160.1,2005.7722849829022,1766.4381394621562,1677.1097729540127,1586.646552419699,1540.6251588970931,1484.7516188901964,1452.0014526434697,1411.4046092848362,1387.1848558532204,1365.028153142503,
170.1,1945.837727200082,1708.7970798602105,1622.795079333989,1532.310649452649,1484.3514330147082,1429.0601609929233,1394.5938319490422,1354.7564526522947,1330.3249032442693,1307.1390127271197,
180.1,1891.825636429711,1659.5555658783248,1570.7160141003849,1480.2094283420256,1431.6864644003058,1374.6427554725783,1346.243914152062,1301.4165214192717,1280.2464238409793,1257.472482379798,
190.1,1840.7848251395978,1606.5188725850537,1521.1370709997464,1429.0012500802645,1383.2983341377612,1327.1520359522333,1295.2061795076459,1254.8361256571823,1230.889481073503,1209.432212701199,
200.1,1797.7512494824489,1557.8626238379786,1472.4382320292816,1381.5726561549473,1334.7916920251496,1281.818734082141,1249.1154317013575,1208.1655907814509,1183.6750308411965,1162.447858264645,
210.1,1750.3863394696193,1511.9634398851179,1426.8565842873522,1336.293150303385,1291.2942916360475,1236.8352811261905,1203.3595711177709,1165.2454247560756,1141.6601510122398,1121.1420136059496,
220.1,1705.9068402266116,1468.9625857795418,1385.2263493938292,1294.4284290045075,1251.3016048129516,1193.325217210669,1163.1832221885586,1124.3008219376977,1099.5840333954427,1078.1875851525213,
230.1,1665.5651993899553,1425.122425432969,1343.311448924026,1255.2030518738404,1209.3338332994113,1153.164988348267,1122.865855264381,1084.4374818731985,1061.267760517395,1039.4271103390697,
240.1,1620.371490835123,1392.5595127679799,1305.4580097442902,1216.1914987724374,1171.4037184062593,1115.7799496811037,1085.8165235128677,1045.5877393465134,1023.6222890935412,1002.3644961075352,
250.1,1582.2822015248682,1355.5190076027054,1268.2138714642044,1179.3982196195795,1132.892525856982,1079.5244464432824,1048.9060655294668,1010.8531803817568,988.0784114053926,966.2520924569849,
260.1,1544.9963478045338,1314.5825773795316,1232.6441407079092,1144.970255016357,1099.664134135095,1046.2616732315448,1015.807148066081,976.2454716644723,953.9572891585117,933.6827501794116,
270.1,1514.280466385482,1282.1040632112422,1197.8148608577521,1112.1203505241162,1065.1184266315136,1011.0002326670304,982.5516293930257,945.5744963648983,921.3523618705307,900.4588147450816,
