Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8929.350812716713,8690.285586976908,8606.406605497808,8511.937033485174,8462.423715491319,8405.741621005614,8372.388755265785,8330.827309015396,8305.533973668375,8282.92788418199,
10.1,4643.562256255998,4408.590414680938,4322.39802369652,4227.09651224193,4181.0364855713615,4122.295868523937,4089.857334161688,4048.603498996533,4022.4509658581237,3998.806769742277,
20.1,4005.578777948679,3769.631228520686,3681.8919791719254,3588.007423677578,3541.749429541974,3481.35232114284,3450.4532273370805,3407.197470574873,3384.152319042192,3361.9624716206968,
30.1,3630.3518066348165,3393.577342156067,3305.035879747996,3213.780780378372,3165.0479301520827,3108.366776251512,3075.2711776377514,3033.3955450636345,3009.1444983897118,2987.2072094599093,
40.1,3364.1719409588873,3127.3701346387556,3039.6543200384367,2948.1813734645016,2900.0117704198046,2842.9111421764856,2809.800970231204,2766.6614192964607,2741.4220277529143,2720.429953184915,
50.1,3160.626599653284,2921.012052458101,2831.038426524215,2740.8984272441567,2692.622772050629,2633.9504809230966,2603.574615140613,2560.7593819350286,2535.7157810060135,2513.004226986308,
60.1,2990.8317213591463,2752.019481754838,2665.927517884514,2570.8769628770383,2524.7592668012157,2467.1574120035375,2433.1807128486025,2391.9040450845246,2367.7652336236806,2345.374697804814,
70.1,2848.4888313419824,2608.24164689097,2521.619833323796,2429.2911178532904,2380.8044721595506,2323.4161244136426,2291.55802130188,2248.149674132254,2224.463160157997,2202.6744162378977,
80.1,2720.104187001823,2485.0660254899435,2396.9729963193026,2306.230754488919,2258.5155202006954,2201.1067363047123,2167.8667192197486,2125.9977804568734,2100.7226865311413,2077.7819994722977,
90.1,2611.990704379632,2375.0698199070057,2289.1019874911085,2195.432398896068,2146.6021585360922,2089.6375626209983,2058.0020217615133,2016.1169710423603,1991.5339527801273,1969.364400603594,
100.1,2514.9037252115995,2276.740980514231,2189.804085806066,2099.5560312094935,2051.306456042391,1992.1491157791274,1959.8220757194156,1918.616894883393,1894.2265193745468,1871.8491706166822,
110.1,2422.6964309031714,2186.77485815602,2101.3484433998265,2008.754128771605,1962.668234268257,1905.4552565884037,1872.3138005400453,1830.3117616891523,1805.227406613438,1783.792208201408,
120.1,2345.2320067171,2109.4973898395524,2021.3442764000765,1930.1735595618754,1880.9579237039538,1824.4349613409368,1791.6185114129842,1750.3706480374965,1724.903305066421,1704.046554559141,
130.1,2273.147073271147,2034.964669570785,1946.0669123241073,1857.5421232402261,1807.5671195619072,1750.0427707736344,1718.064120571331,1675.6128074346097,1651.7356718637036,1630.5646102448509,
140.1,2201.2059533186825,1966.4808242898814,1879.4135480373252,1785.905636300588,1739.1420891561559,1683.8963534179163,1651.402280260592,1607.7763936168055,1583.5921090500508,1561.9330678354484,
150.1,2141.2692108127358,1902.858274907332,1816.5437012604552,1722.8942110637238,1675.0874541568755,1618.8122869293406,1585.2956519025033,1544.6853025135858,1521.4259365718065,1498.9669669167508,
160.1,2080.821153726805,1842.2182684708898,1754.3613171238303,1664.9505958673847,1616.407603850835,1559.6402496739481,1526.1277014318953,1485.4944644376515,1461.3831815605165,1439.6956926934515,
170.1,2021.4731429095532,1787.8461710410938,1698.4156375467035,1606.0051587962555,1561.5778627264592,1503.8547030699156,1472.0166900077888,1430.5770375746383,1406.5184897478673,1385.0362827769598,
180.1,1970.8266653703176,1732.6960813507221,1644.6320305527083,1554.7277820189972,1507.8172032564332,1451.7648893222631,1420.888227902395,1379.2870167770845,1355.0223348068764,1331.9541239547782,
190.1,1922.7558635065002,1682.4688352064863,1596.0833849784362,1506.4258076519702,1459.3651188891165,1402.0264885132,1371.4544269996877,1330.0355298615373,1305.2676485065654,1284.058658114456,
200.1,1872.8853208757844,1637.373043204936,1550.1285774957607,1459.8154914980234,1413.338113025648,1356.3501367693334,1324.279499604366,1284.2463782549353,1259.412173029236,1237.8997349213582,
210.1,1832.0974665567899,1592.0018161566343,1505.8280139455508,1415.4653997468797,1368.9518228842612,1312.7720539416696,1280.4808244017825,1240.3319144022014,1216.5050338652188,1194.562075751147,
220.1,1786.8075642965828,1550.2264972153462,1463.511806010364,1372.389840500546,1325.856454199674,1270.4784017798515,1238.9101961518038,1197.906232325679,1175.1865700739459,1152.4973725439006,
230.1,1744.4236364020974,1509.1726040829644,1423.3926795531881,1332.653804957227,1286.3370078245255,1230.672345147859,1200.4878698962993,1159.3797699494648,1136.8629136293541,1115.0282220977685,
240.1,1705.3481249111708,1471.6679010599653,1386.5438859656017,1293.094195935526,1249.3873728156334,1195.5599354347985,1161.320283968421,1121.6723447434988,1098.6975790322394,1076.9477978800292,
250.1,1668.9703416076184,1434.5890383926646,1348.91193601775,1258.8388642507448,1212.586015195684,1157.4140330961864,1126.7455244840023,1087.322940934032,1063.0623290413823,1040.8973654828576,
260.1,1635.6100180434794,1396.7036859125271,1312.1615022247306,1222.2707850037457,1177.6246386016132,1122.0435107087221,1092.7204173969528,1053.562081607751,1030.0047638266058,1008.0429347576289,
270.1,1600.487154339831,1364.2496391628333,1279.4737540126941,1191.450525449773,1144.801800810081,1090.2539506000965,1060.0612509173493,1021.3837449613293,996.992536902752,976.6060479984536,
280.1,1567.683898656398,1332.628578839316,1248.1357132677197,1159.4137283437865,1115.0614154439418,1059.5835992017526,1027.8976122590254,989.7155612765266,967.8992497717139,945.5138317084603,
290.1,1538.3393079212315,1302.2254846132776,1215.5025619252744,1128.4501199003084,1083.5996942659626,1029.372282386119,999.8022479807735,960.5728278609009,937.7130358242506,915.9371695979736,
300.1,1510.0326250703483,1273.5424607834436,1187.7479002337234,1099.534118195073,1053.706678698361,1000.4967457963816,969.4956403621394,931.9410152202444,909.6415517405775,888.2628176476746,
310.1,1480.2352472192695,1244.8490519881468,1159.7905075248102,1070.4847392699457,1027.5919394523144,973.4206651086873,942.6658215141416,904.7166948502561,881.9129802737458,860.3662021459653,
320.1,1455.9074838653128,1216.4677757064067,1132.0903458015496,1043.5394150919294,1000.4711307293455,947.7073782646814,917.3434679711763,879.7392904789895,856.7824343808862,835.446753502613,
330.1,1431.10811888886,1189.6681894346132,1105.5866938173508,1019.045132842971,974.3477246070354,922.8931141311691,891.5923931200024,853.560542834203,833.0502565537398,811.0672275090627,
340.1,1400.6727813576103,1164.2882934928887,1083.116252916536,994.2995464140479,950.0731981214733,896.7074917545557,868.3162531971996,830.6854860257079,808.7430395787374,787.7871018239416,
350.1,1377.7679726757121,1141.6056344351398,1055.8546519785477,971.0768095195617,926.4577526828868,873.9341612774597,845.1578553827952,808.7710991109169,785.2267084854045,764.8234950701267,
360.1,1352.4428870113918,1116.6604693152321,1034.2066647241895,947.7408773803133,905.4184077474199,852.3843181387429,824.609461865696,786.7898372693762,764.6764500889964,743.0266109213275,
370.1,1334.9380532264113,1095.1768599755537,1013.441333089626,926.125094529185,882.6662901341024,831.0277805584914,802.2872448108538,765.1383300554263,743.9353984534492,721.598846607122,
380.1,1311.1333849103514,1075.0732388674453,991.0935364662785,903.9289775995738,861.737339898363,809.4403397532708,781.0046377314784,745.9420709445511,723.8887873172699,702.3087507332594,
390.1,1286.608176654883,1057.2202722383656,970.508705135607,884.8052524240763,843.1641573238996,791.0046610859466,762.0769012259408,725.1818384571876,703.4878512493501,683.539299282707,
400.1,1272.2044446853529,1034.061382010329,949.8013587446168,865.2644039816207,823.6479671495415,770.6633150018694,743.5595276802774,706.9227553420782,687.0947588307201,665.8642369885156,
410.1,1249.5903848044286,1015.0077235081994,932.2799060705531,847.1597216071517,803.8312513225094,752.9547441678718,726.4139869224689,689.839502450172,669.2929960855496,648.5102825543029,
420.1,1231.9601541964382,994.6423767497253,912.8674308198947,829.3744459706775,786.7747409787133,735.7215153327344,708.2040651760241,672.7544852795559,652.3289738837012,631.2590572624172,
430.1,1215.8070843420217,979.1778382828586,898.5187329028184,812.3108239130013,769.3432782089128,718.2939447692518,690.9156846813324,656.483128337806,635.3103908948397,614.7542700967044,
440.1,1198.3267178434444,961.4462997010639,879.6895297539809,794.2656641343514,752.5949961476281,703.7725509272545,675.9964880149736,640.7775302223882,619.9251400712793,599.4680603535527,
