Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4
0.1,8374.121708777828,8373.873713907342,8372.805145459259,8369.476858992712,
50.1,2559.3781127861853,2562.8677694130315,2561.7201641919864,2558.84464037225,
100.1,1911.0882519202419,1914.873984199541,1915.9260602621976,1918.0958600168278,
150.1,1544.2121754749476,1541.8468903931398,1544.023086469682,1543.436738123532,
200.1,1280.82217976509,1281.4706589018494,1280.7523781106315,1280.34834140306,
250.1,1079.0548500995612,1079.509787339503,1083.4082045288549,1080.8075514358984,
300.1,919.5372573834273,927.2488444073076,925.0229514496434,923.5655289698394,
350.1,795.8466326916548,795.0531570385355,797.128386883286,796.3386717435801,
400.1,694.9349141272506,692.3121570052739,688.4417827998096,690.927450186007,
450.1,600.4382013687169,600.55127152299,601.4219365691129,600.0896408188165,
500.1,524.3624311022102,524.1913891645635,523.0451501714183,525.4362196614428,
550.1,461.16091593962454,459.6029448022429,461.500871041359,459.00133952389814,
600.1,405.02378026436645,405.4864290507246,404.9074793047426,406.9255289786279,
650.1,357.21550763680466,358.1767789869692,354.78587278113827,358.31649180107183,
700.1,316.59524962817784,314.77330969591515,316.65991170561995,315.6537736053641,
750.1,279.0360285789354,279.5578375465415,280.56162917343073,280.1269357701827,
800.1,246.6766153712539,249.48900520753094,248.4002585799766,248.18258305692945,
850.1,219.49051517576552,221.51684736430263,219.7097246757362,220.42949183025655,
900.1,195.40688331679263,195.29754788262989,197.19921357041827,195.03695481296455,
950.1,174.07195425339742,175.64380042321378,174.62161520567741,174.57997303334338,
