Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4
0.1,8374.121708777828,8373.873713907342,8372.805145459259,8369.476858992712,8327.890152604894,8323.573245006892,8274.89485066684,7976.180788009255,
50.1,2559.3781127861853,2562.8677694130315,2561.7201641919864,2558.84464037225,2549.4421003645525,2547.2119722216044,2536.7506834670266,2435.7279607834776,
100.1,1911.0882519202419,1914.873984199541,1915.9260602621976,1918.0958600168278,1905.5554411994458,1909.2390793127458,1896.9723217088138,1820.7928443847413,
150.1,1544.2121754749476,1541.8468903931398,1544.023086469682,1543.436738123532,1534.521654597612,1535.1433050057365,1524.7770809196033,1461.0079187592187,
200.1,1280.82217976509,1281.4706589018494,1280.7523781106315,1280.34834140306,1275.4571645435972,1272.131388461844,1266.1495774162006,1215.6121204718343,
250.1,1079.0548500995612,1079.509787339503,1083.4082045288549,1080.8075514358984,1077.6374775335382,1075.0372507776146,1068.6913757352218,1029.4773762084465,
300.1,919.5372573834273,927.2488444073076,925.0229514496434,923.5655289698394,920.880193769456,919.0740709532239,918.9814750518411,882.9857887923318,
350.1,795.8466326916548,795.0531570385355,797.128386883286,796.3386717435801,792.7428146516071,796.9984531439175,793.081089131864,765.9308556072436,
400.1,694.9349141272506,692.3121570052739,688.4417827998096,690.927450186007,695.5852116503148,694.7508318671456,693.8977427220143,673.6712771270404,
450.1,600.4382013687169,600.55127152299,601.4219365691129,600.0896408188165,616.3557993053664,612.2740517803302,613.1310887020519,595.6201017664655,
500.1,524.3624311022102,524.1913891645635,523.0451501714183,525.4362196614428,549.2411589200586,547.225792804197,544.6955212477739,536.1216403426308,
550.1,461.16091593962454,459.6029448022429,461.500871041359,459.00133952389814,493.51204492719245,493.18618593180935,492.47941640553074,483.5921029892417,
600.1,405.02378026436645,405.4864290507246,404.9074793047426,406.9255289786279,449.2291866995363,448.76138450557727,448.792968465231,442.7168486535714,
650.1,357.21550763680466,358.1767789869692,354.78587278113827,358.31649180107183,413.69351403272753,412.53069114044524,413.4061246821682,408.04738568845744,
700.1,316.59524962817784,314.77330969591515,316.65991170561995,315.6537736053641,384.170601956212,383.6625567938562,384.14054315857084,381.94417237420646,
750.1,279.0360285789354,279.5578375465415,280.56162917343073,280.1269357701827,362.48737008715693,363.0295014097262,363.77068381728304,360.4277560869239,
800.1,246.6766153712539,249.48900520753094,248.4002585799766,248.18258305692945,344.76637275115905,347.72853513535154,346.1259600606643,344.50227693704767,
850.1,219.49051517576552,221.51684736430263,219.7097246757362,220.42949183025655,337.13019013458603,336.27685684116483,335.51949638798203,335.04634736563725,
900.1,195.40688331679263,195.29754788262989,197.19921357041827,195.03695481296455,330.2404780942792,329.11854722587674,328.1428227838958,328.76683852393074,
950.1,174.07195425339742,175.64380042321378,174.62161520567741,174.57997303334338,327.955928658382,327.4572914049195,326.6753284362258,328.3450140962798,
