Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8984.486396783315,8742.130214908102,8659.205130861592,8567.748550659595,8517.440550718751,8459.667082770216,8428.49633590239,8385.354150889272,8359.559403511197,8337.559476656477,
10.1,4699.8122690463315,4458.725194048999,4373.808654187533,4279.19614185178,4231.6848228773615,4177.75234282174,4143.129371136772,4102.101876254295,4076.5015708922883,4055.015775373708,
20.1,4062.3292814311767,3821.393561841849,3733.5166520911407,3642.7330210922787,3592.2162281976393,3537.585539204123,3505.279237924222,3461.4133591729196,3438.7343628139565,3415.1255461320607,
30.1,3686.670396058866,3447.314002276794,3356.27226937801,3267.226148173195,3221.5042256181628,3161.247640668588,3130.7349592651904,3087.6223907309736,3063.1421014247703,3039.700888897243,
40.1,3416.773337993902,3185.162061217193,3094.5708874570537,3001.8747672690415,2955.0503827006523,2898.4797388348043,2863.981868623725,2821.5631425880265,2796.0842176642427,2773.68904843973,
50.1,3208.449923496809,2975.1213744499482,2884.6945093541044,2795.2798325676986,2745.984999577737,2687.3816192672653,2656.921864845055,2614.1540238320204,2589.752078460139,2567.1654257949763,
60.1,3043.652041253485,2804.7796675772493,2715.7333037268018,2624.626553195444,2576.812985172702,2522.069605016547,2485.7697657060403,2444.053490121342,2420.5494243921016,2398.7184787463325,
70.1,2900.3998316176962,2662.1275198765748,2575.6286514924477,2483.9881023495964,2435.983691113557,2375.7708916204824,2344.1323920276513,2303.552333005627,2276.7765693139195,2256.0348518232167,
80.1,2778.626353805691,2539.061521099606,2454.2727711415646,2358.1175945164923,2311.544597536394,2255.4572393498147,2219.3868284208647,2179.1958110853056,2153.523723827246,2132.092773816659,
90.1,2669.149578177416,2429.4822133484045,2340.4826037928096,2248.8318334389787,2202.8522955642165,2143.2537348817973,2111.2634754320434,2070.5741242627914,2044.3905268015292,2023.2761948977716,
100.1,2570.0227029180933,2331.924293988,2244.967189873223,2150.320046853064,2105.454013020166,2047.3851140567347,2015.1948533766617,1971.4550149049473,1947.296917492401,1925.6722555404324,
110.1,2478.865164909548,2243.445821225225,2157.7540845623857,2063.982979954421,2017.4797865020125,1957.9662723877195,1925.0947302473687,1884.3703357785946,1858.5067917462184,1837.3569388609453,
120.1,2400.0335897900204,2161.193015866266,2073.685047370999,1982.3555601681514,1935.7468543085167,1880.142272312085,1845.7388559619744,1803.031477347812,1779.714587038541,1756.4813516280608,
130.1,2324.2771170577075,2088.7908583149438,2004.5084231100739,1907.9626730337113,1862.5135751936486,1804.8725995271598,1771.3634736037045,1728.5817670925308,1705.2839938188508,1683.2966466518988,
140.1,2254.5870708864404,2018.5085663483442,1932.4327746912434,1842.044542861699,1793.8068136607071,1735.8210268443372,1703.5619505774982,1662.7900311480741,1636.976700521888,1614.2740440014913,
150.1,2192.3405465468095,1956.443702669522,1868.7521746176244,1775.0350297626187,1728.4646567035927,1673.6082380837827,1640.9209124089657,1598.3211214640578,1574.2932303008172,1550.509294016978,
160.1,2134.64000159877,1895.8686047727851,1808.8615400432734,1716.1084966014635,1670.9141378393713,1611.9709883953396,1580.0716598015251,1540.02102320675,1515.600812280446,1492.2656767439187,
170.1,2078.8697232071404,1839.4705299686595,1754.8413483427018,1659.5105914047397,1615.2928342791615,1558.1076605722258,1524.5302568780442,1484.6129727159546,1458.3422501792386,1437.9005034156935,
180.1,2021.2899476181715,1789.8008662501593,1700.1763047323066,1607.6753318580597,1563.1341344640934,1503.868291148829,1472.978770827331,1432.0046682985126,1408.2251321236524,1385.8264975256984,
190.1,1973.6584448266335,1737.8212254784373,1648.9275326672814,1559.1071063457648,1513.912759421432,1454.686666804642,1424.220268384254,1381.4709618337126,1357.449034151521,1336.404669766087,
200.1,1926.327423920798,1691.6016949644495,1602.826712195325,1512.4674165278643,1467.2356802074296,1407.0765116650928,1376.2115385672705,1335.7909695535711,1314.6156142305983,1289.7916449567567,
210.1,1882.0195264832448,1644.0628765860372,1558.760646456261,1469.6403324903845,1419.702643685863,1366.4538322388319,1332.3755379189265,1291.163662007195,1268.1824737790917,1245.9739716695005,
220.1,1838.9774660505605,1602.3588688758095,1515.1641608213733,1425.934145311025,1376.6195726055741,1324.1449306183783,1292.1404209811105,1250.388957156402,1226.3923200861743,1205.3901233983343,
230.1,1805.9057285298932,1561.9397582122174,1476.9999563331446,1385.457092439449,1339.626882640251,1283.9093484748353,1252.2703069415154,1210.3330918237896,1187.6768063964512,1165.404460526207,
240.1,1762.5102010236544,1525.7156458130296,1438.91546455143,1345.5561397249169,1301.4643391169666,1245.1260002035626,1214.446069422957,1174.716323960076,1150.9287644250155,1128.4806418951223,
250.1,1720.3305722459802,1487.0137188223882,1399.2966518289384,1309.1718320608486,1267.4624694621853,1210.703098758158,1180.0818094167832,1139.7674216198275,1115.58561494906,1094.5551059065485,
260.1,1688.6492666787208,1452.4487687513433,1367.0222929905162,1276.980090347196,1228.836391859723,1173.8964348836237,1141.6425425907416,1105.9158086438888,1081.1058464316252,1059.3136249865986,
270.1,1653.6521024509973,1419.709060212931,1330.4313757992088,1242.0930874861065,1195.828725104724,1143.6520310605263,1112.6589811456258,1070.785088128414,1049.874259647334,1025.511646272419,
280.1,1619.0865990779591,1386.7075530893544,1300.8936553894575,1210.0483183370793,1166.2191812013882,1111.3295174828304,1079.8926052020458,1039.7670270486965,1017.2578713036975,994.996963384517,
290.1,1593.2424374579932,1354.2482848284144,1269.6482752228524,1180.3235681582594,1135.6521919112886,1081.2541044802074,1049.3974348545223,1010.3498688523006,987.9444163818915,965.6354958206281,
300.1,1560.7236830345853,1327.130108081719,1238.352341569054,1151.189037158301,1107.9645784146808,1052.679583764946,1020.130847486231,983.7286650479099,959.8080855060145,936.2558215611674,
310.1,1535.032620126783,1299.2728083783695,1211.2219937567033,1124.122451929516,1078.0002807147453,1023.1850320044729,994.1000710803796,954.5823540382945,931.9962391103409,910.4271258723658,
320.1,1505.719307646472,1266.7755412779495,1186.5873947564762,1095.6857852649284,1051.548134755246,995.4045987127821,965.8945391024191,928.462398155448,906.1491156519259,884.6170776457152,
330.1,1480.454992160529,1245.3561341221073,1157.8178758969975,1070.6547399561252,1025.1311337648908,971.3314425650833,940.7620784329373,903.8932365385033,881.0653905099623,858.5545871285325,
340.1,1458.561511247807,1217.7543138092697,1133.5699991583947,1044.6432584320007,1001.9591065545918,948.0005922100206,916.654821938058,878.3302421385723,856.8759140118555,835.3623110247872,
350.1,1433.4053900832462,1191.967679896281,1108.4677238876482,1020.7626516171057,975.5390070847191,922.9924014653457,893.3672263600298,856.2659569941226,833.8546118343468,813.011890538594,
360.1,1406.6796211825072,1169.434858518859,1085.624546807604,998.673616130818,955.6061987388842,900.3528734983571,872.6255638545259,833.9037749008768,813.450235425959,790.9213033853533,
370.1,1383.5665013021403,1146.145761183993,1065.0050484138944,974.9635169112215,932.7279814663144,878.7863350991798,850.6609699529613,813.6348189115516,789.3254149760014,768.6979694684676,
380.1,1360.7361363287869,1125.9549513283455,1041.2494689993887,955.4869675924413,909.7116662020035,858.497790232155,831.1293001540939,792.5341864350457,770.8435925697038,749.7486016189301,
390.1,1343.2054911384805,1104.8842049008754,1021.8477692291676,934.1800133572041,889.7313722104127,839.8317467318038,809.4341917995707,773.0437679231247,751.8198178176999,729.6639944471261,
400.1,1320.7970370906967,1086.5649994939786,1000.7500927117301,914.7901203452594,870.6059412888113,820.0388304428719,789.3645207295376,754.4171794002597,732.1252708901594,711.1998899868998,
410.1,1301.586243787973,1063.7679960074906,982.4935513313623,895.348866707741,852.6046177437061,801.6904567205302,771.006421935585,736.1206980095525,715.018171002563,692.5997904069552,
420.1,1281.4216994466033,1048.3515022409586,962.8704896968022,876.0859581078302,833.4460726580089,781.0581695448763,752.8647045695271,717.8855710712604,696.4496316378385,676.7528042455689,
430.1,1268.2453489487755,1027.7722607405847,947.7662607164747,860.4769672727979,816.4736076387404,765.8219261448717,737.1777240466054,700.3778967662885,681.4093965055631,658.7121002950989,
440.1,1252.7595823907677,1014.5282224756013,928.5661671098043,842.9789002217178,801.0021979469868,749.520343366101,720.6949352087313,685.3725401592505,664.2808942024683,643.61478879792,
450.1,1232.8412150972922,994.8684101441316,912.6868917654552,825.050874955236,783.7535423116699,733.744668356612,705.6233823640245,669.4459972301374,648.5939512920704,627.2323702553255,
460.1,1213.9301553425323,976.1841302060972,895.3049832991438,809.7839151296611,768.3684626063738,719.7623324676551,691.2581654800656,654.61128652498,633.2559143010724,613.2828110160934,
470.1,1203.6787739238482,963.4378189160655,880.6051369991239,795.3623891911328,753.4586020519688,703.19039599679,676.701991468354,640.2403716636841,619.7545604652553,598.4248056355071,
480.1,1188.8265225308,949.5630990187259,863.8634357725647,782.3266968653965,738.7918657125019,688.7761151761558,661.6092763753277,626.9336320715663,606.2685985654124,585.4740726995992,
490.1,1169.4665847864287,933.8567621920396,853.6397337890176,765.9366691455957,723.611215185208,676.1949323082362,648.212078992126,613.889022271546,593.2323355126191,572.401317659481,
500.1,1160.6487032000143,921.1972829966433,837.6438613188993,752.4350853406241,711.7447790708101,663.3160459650611,636.3163226387886,601.4030892588056,580.2355446521289,559.4819793265289,
510.1,1147.6493480555314,907.0413098019961,823.8674573296303,738.922815238253,698.5040341580459,650.2049839209791,623.1881323541354,588.327501429826,568.2809957415878,546.4829348585364,
520.1,1131.0176117537899,893.4604821735592,812.6290871239405,726.8534958691067,688.1771905783891,637.4451240905756,610.9596536107064,576.9537366059989,556.4828793116127,536.7270126633798,
530.1,1119.1343649865669,881.076948702229,800.1446829967189,714.5871592825531,674.1763238417606,625.9701738995271,599.787647271354,565.3345200062045,545.236377323517,524.7583113258506,
540.1,1108.6812403829726,870.1478509780221,788.4068701805757,705.1586466586027,662.974955242738,615.431921393844,588.4121674446404,554.3696915789887,534.3573971322573,514.259515600275,
550.1,1095.3584671204355,857.2031919759228,776.1585901430715,693.4407507183772,652.589500352288,604.8485457387018,578.0566380580863,545.5475027044225,523.1243708561794,504.0511983290412,
560.1,1087.304534203737,847.3676006593155,764.7700435276477,682.7038886687436,643.8121498182219,594.8811557033112,567.9246679774948,534.8649699210844,513.9332373999553,494.67769344359823,
570.1,1076.9628062335037,836.5020427299784,755.1264183149681,672.7604288100866,631.6812096043228,584.1154002556966,556.2818450672203,524.9864049481222,505.30277407019116,484.8715673768797,
580.1,1065.0036891126854,826.5757005205326,744.1121163557366,661.8146889356714,622.239439573833,575.1117461960339,549.0128420238412,515.8117011547528,495.0008088120348,475.71121211886276,
590.1,1057.1433236969617,816.7487917114887,735.6894887606956,653.6835993466707,611.7626427702676,565.5209259254773,539.5973899274011,506.5098098592603,487.00879257385907,467.3875295398757,
600.1,1046.274078348135,807.8932949140808,726.621330216102,646.0247629542129,603.8258611815057,557.1050583388521,531.3950960802588,499.2272416985074,477.7335823968532,458.83979468023966,
610.1,1037.8797377681926,799.5720061718511,717.4060317366772,636.0754733905245,594.9631346078021,548.9714113773231,523.0143448418496,489.92777149467247,469.9163795117862,450.8104980484852,
620.1,1029.4579577056634,787.301083902524,708.0919106709086,626.0937218890391,587.7067108787221,539.2201535928566,514.4552502625702,482.79123618448665,461.8548809002682,442.94754024118254,
630.1,1022.5939008725501,780.1813858292663,699.9935173870979,619.8282520263193,580.5706473063964,532.8770251522807,506.26898309230586,474.77471771162396,454.7157868997065,435.0493513742501,
640.1,1012.6408764564554,772.9601317176503,691.3963475620253,613.0534964866699,572.665975756729,524.1854138613282,500.9803639806804,467.68486588329733,447.93987439457743,428.35695151500374,
650.1,1010.5153512662241,765.3635496069193,684.6976872542949,603.1204377790667,565.3021240395627,519.0366341164893,492.73234148204307,460.69069926171153,440.09058568113386,421.66868972357975,
660.1,998.843293843947,758.5720157045839,677.2130379326354,596.5595701194776,555.8298948799535,511.05469610774827,485.69650200363355,454.2224059874971,435.8611188630483,415.53733210327033,
670.1,993.6275508178753,749.8092533182175,671.3264514286377,589.2858714488376,550.6027903283425,505.72263636812454,479.9336298654602,447.81432546654827,429.60251099462783,409.9685003198265,
680.1,985.8763191215954,743.4062646292733,664.820179219482,584.4529567144422,544.3111824274379,499.88848683264814,474.7852601915446,441.8040369597355,421.956427870605,403.25645873116156,
690.1,979.0701978606187,739.9058651023897,658.3377400158239,579.1775530854469,539.0730996231208,493.63276984284,468.9056061905067,436.0822648504689,417.120188816618,397.6597010844929,
700.1,975.604875808508,730.8545488572983,650.6932659008911,572.786486907257,534.4747092139582,488.5366649294718,462.8957710751772,430.7298683296858,411.16913472861916,393.57647844213085,
710.1,967.8327131122556,726.4719720934717,646.1443903547105,567.341156421421,528.5115541277588,482.6305019585491,457.15653441970125,426.02705470432176,406.849745403019,387.8652829809765,
720.1,965.0770592241008,720.306916548866,641.9295733091512,562.135994306915,522.4047365454644,477.1703570132438,453.2392378584993,422.07382012337223,401.4479780157537,383.3981656822435,
730.1,958.4937497257129,714.1515023650524,637.6005171476978,555.6939633914341,517.5855904403529,473.2857127406284,447.39326876818967,416.3164505590278,397.46690311289984,377.80615108202323,
740.1,951.925913778507,708.5494113794201,631.8923466165253,552.1041755648635,512.7548805350582,467.81292893044235,442.7638696720206,412.4999454454147,392.75328291476893,373.8749945060067,
750.1,947.5703507689522,706.4602141735793,626.9706993863323,548.5732350454093,509.0432897690726,463.5004705653743,438.3960271112878,408.06499446844646,389.15460244277983,370.0149300350419,
760.1,946.4821853905245,699.6487125961688,622.0173064295127,543.4424710481426,504.42844543232263,459.74449316211303,435.4955486918907,403.631400949305,384.9781587120263,366.6527811308893,
770.1,940.1726224457345,697.3797269782182,618.5785417270632,539.9138870080211,501.26797748952714,455.8781674199856,431.56196214506093,401.1722049717473,381.7198097636549,362.6955016155956,
780.1,936.2875416543507,695.1527763069037,613.7590169379398,536.0261090633195,497.4489626222383,452.8721585830239,428.2843814264717,396.4244164862782,378.12911978578705,359.1668538483208,
790.1,933.4195854181008,691.0490235719019,611.6872828612044,531.4075855476982,494.7364675990538,449.7359117568647,426.04525295779035,393.56153013163663,374.3127940161428,356.3290435431191,
800.1,927.7020214082089,685.2628381138377,608.5501537100059,529.515130530894,490.20828815439495,445.9053614524949,421.5773183259416,391.19197111146616,371.56836539147616,353.0331504131786,
810.1,924.3041631315725,684.5075178275027,604.7792031113619,526.1744173507371,488.56154862112896,442.94690789884817,418.6245760404129,387.83630089358735,369.0828309999446,350.2959397016458,
