Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8554.25719174871,8526.415043551311,8190.397888561871,7088.580273722828,6337.265784971003,5417.521651462495,4928.967690515427,4338.958733069384,4018.042986592661,3738.451017551915,
10.1,4264.574852168095,4255.514201040784,4076.1458344537964,3543.820980626584,3170.90698089658,2703.441877033408,2468.0961587571437,2159.773807606776,2008.2969054414395,1868.5721684259972,
20.1,3630.69641082337,3614.295796077318,3459.6534422387094,3011.917441762414,2692.869379668314,2302.0733924161086,2085.485888586153,1843.8494403653785,1711.7909298359289,1583.7630709669277,
30.1,3258.746447325227,3241.6718905257094,3107.8203442930644,2687.4770830779753,2425.311211423204,2066.231882348306,1871.7455699814777,1649.8101517222117,1528.665856757708,1420.7849255892813,
40.1,2985.032097602969,2976.9333051525496,2857.4129532811685,2476.2375457630815,2230.3452666888275,1898.4008606936366,1728.9090833531307,1516.400829659893,1403.8329569054372,1306.6352952422676,
50.1,2781.5723189976607,2767.337841225555,2656.496035045372,2303.86564322827,2066.8662096451585,1761.2869502576716,1602.8236399418274,1410.5694672029754,1305.0557366126104,1215.9716403081457,
60.1,2608.5379872262442,2599.5111028767096,2494.170048272117,2158.0807953292783,1939.743603718825,1656.4245377116144,1497.217921897601,1323.2913538977193,1224.120156676464,1144.6881864679453,
70.1,2469.0006524577702,2456.877875503146,2354.786715958089,2046.830800149119,1836.2144998089905,1557.9165769267206,1424.1516087603484,1251.8021191923003,1164.5962197055728,1082.340915558846,
80.1,2344.6785152727944,2337.2702617563036,2235.8664724042696,1943.0134989019832,1748.271807026645,1485.7434055689969,1349.2802423013648,1194.5618436496502,1102.983894802456,1027.3303372807636,
90.1,2237.4922587520227,2224.3563772514954,2133.5592969005424,1855.3383036423613,1664.440018328852,1423.0917673728932,1289.11168994453,1136.1670300086705,1051.395868194571,976.5840698941901,
100.1,2137.947853623741,2128.3887491597648,2043.7519277420424,1767.571378932817,1591.4009770104751,1354.520183965057,1234.3051969236453,1080.8136458560355,1006.1887661698814,938.4260842208663,
110.1,2049.992787618217,2041.1172226195047,1952.938828539125,1698.1325684586118,1524.9117696469195,1298.4850567059307,1180.8717301398567,1043.1884193537344,962.3321697138992,891.5587444746825,
120.1,1966.153410301401,1963.4779040601056,1880.3883781208965,1628.737196522459,1462.0162025741638,1254.7509920607306,1137.4763365101714,1001.3113622169186,929.7936693532936,864.6891736476723,
130.1,1898.9223330947846,1888.388302966524,1810.180859792078,1571.679496549367,1407.8582293440065,1209.7438395227887,1096.596965525709,964.1717201793,891.0805187155588,827.8618093061054,
140.1,1824.8383654682257,1820.2926935865642,1740.3975200848276,1518.3539981775587,1361.8926955426668,1162.7352328974555,1056.3666013081354,924.8557115641581,860.2865040673405,802.3436402005078,
150.1,1771.1405800422554,1755.4826464817766,1682.6925306077785,1461.698707335783,1309.8432060616756,1116.0431282186235,1013.9113544232812,897.3213314596418,828.708822594028,775.4510580732089,
160.1,1705.649336322375,1699.243434255843,1628.0341112223964,1413.5453683500539,1270.6237768701606,1080.1137290714232,983.753020189309,867.3773666362653,804.227824582848,748.088694591764,
170.1,1648.6637378453247,1642.4908274035663,1574.532893827673,1365.186970315592,1225.4741053158173,1044.5593279833738,950.3258654961672,838.1527150150716,777.448532306096,723.1988772455625,
180.1,1597.785983036391,1593.6788940904248,1526.4975112792524,1326.0830012648296,1194.4660031795743,1015.7916513723924,923.8690111906432,813.2254566798858,753.6382083724294,702.0140645083951,
190.1,1546.4488547510723,1544.9228997050213,1477.0016611766885,1284.1175269752077,1149.2999798162273,984.0783160884749,900.1908169413614,786.6189532059457,728.2465180556134,679.9193874162253,
200.1,1500.9176014480372,1498.545371068148,1433.6350865398852,1252.795163628645,1124.6737300029522,953.1826395040573,868.7030078535308,763.7770725873456,707.9528648992206,660.8036066133337,
210.1,1458.0813935262981,1453.220200917562,1396.295898522678,1211.6244419274694,1089.9384617820165,929.5931549157161,842.7801253199475,742.4352414881449,688.3607107665091,642.370815078373,
220.1,1415.3438029525553,1414.11520953613,1356.8188393000096,1183.89190045012,1054.2207903218693,902.3235347627228,824.6054951341039,719.1547071922745,670.8435424199954,624.1147390885412,
230.1,1382.704836379594,1374.9558205485093,1320.1380815528742,1149.1404564393704,1029.8379012203059,878.915570177477,797.441565600509,702.4942228246244,649.2833688870892,603.9497428846065,
240.1,1343.0691826669238,1335.921596078456,1286.4779156108586,1119.3895648137643,999.0266942560929,856.1942314826531,776.558121824298,683.6822842214741,632.2053096285354,588.2867662161215,
250.1,1306.6504012808625,1305.5551699776959,1250.3274533913323,1087.94841579244,977.0948611613368,830.306268568563,755.5601794808277,662.9565564474103,613.7388163662179,573.5671694930415,
