Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8844.44396380832,8632.409710338927,8545.205619382785,8452.91001023699,8394.082438252124,8336.561765360631,8311.572968155455,8268.275375379097,8250.722210796757,8219.063846146815,
10.1,4578.673049445684,4328.130773176048,4253.526295496479,4167.5266112220415,4119.787986991653,4066.6803407269854,4022.1706422242114,3976.1962408588424,3956.04128215045,3932.758140275592,
20.1,3952.0009680956823,3706.8961166063687,3615.50969708528,3518.012237728463,3482.29834270409,3414.638786463982,3390.1313521312154,3340.236648150559,3315.1159493522355,3292.547043421923,
30.1,3548.858446129008,3342.3287445426436,3241.9704800286013,3154.654605798034,3103.362617036664,3046.8134373947187,3007.9660868629057,2973.095297803665,2942.6325525896614,2916.5914066826194,
40.1,3318.825307562711,3060.690595227146,2984.122997113201,2884.775784086467,2835.3993142412965,2776.89326290582,2744.337703743194,2704.533605857354,2675.4361643855955,2653.031610597522,
50.1,3096.7656494604657,2851.844956604364,2775.2433931958226,2680.3507704941558,2635.5391990265357,2571.4489174573923,2543.2648564569204,2498.9693159656013,2474.861065485295,2450.9743071856087,
60.1,2940.573853600955,2687.7961445630845,2599.209726623617,2505.4768448610903,2454.9467148777508,2398.5174755351986,2370.2662787720406,2331.2097621531825,2300.8818446621895,2277.040534463463,
70.1,2769.679210604599,2543.8257716926096,2452.242981171574,2365.91921872045,2309.6210270426764,2259.994947478915,2224.374797015835,2182.6883816620098,2154.4636301558758,2139.526184176096,
80.1,2651.787572994583,2422.6798489900784,2330.941762597682,2249.904821046851,2191.61627202982,2135.602453204625,2104.153950700069,2063.2161107200222,2041.6471668456986,2016.4193240974066,
90.1,2572.5049890551904,2312.591905945985,2228.139465338433,2133.1362247719717,2075.491080380238,2025.658670235539,1997.432658697772,1948.5430054570402,1925.4815337428265,1906.421762994606,
100.1,2464.9664235673313,2201.020449718484,2123.3632827807883,2036.633936975373,1992.0453228750832,1925.494930287532,1901.5337157547688,1857.1351438967595,1829.3236882047283,1810.4918446520355,
110.1,2372.500699553593,2138.6703138267267,2044.7363107812275,1944.5326290485123,1900.6188134165625,1842.8200809711384,1816.0179261356263,1766.0261293695376,1739.580075576835,1717.347469183712,
120.1,2316.1714984074574,2055.3798376481777,1971.2119192990315,1868.1378105467584,1821.4347022235945,1759.8049358692413,1734.5659933645793,1678.7439780799673,1660.8730079613492,1637.4946194720053,
130.1,2246.8055417507835,1972.2835157378493,1898.2525173323206,1801.5868332488935,1752.337475575571,1695.4767025116578,1654.5814985469904,1603.7671668323428,1594.1487768264521,1563.4337760132319,
140.1,2165.958136377829,1916.6200959404116,1827.1520445824326,1727.4463090607176,1679.5130813825947,1624.776595093961,1585.4838967287362,1547.1791979185998,1524.019127042652,1499.142408489076,
150.1,2159.169289530943,1855.8886717929404,1768.523193937029,1666.9815745263409,1623.3748645624491,1566.4016131787375,1529.488336634006,1485.3473045651417,1462.806319617757,1444.6954833831578,
160.1,2082.0866894431965,1807.8370715619308,1706.7566311705866,1615.4049310904327,1554.4497004786333,1510.8222908923356,1471.731784291601,1428.8999409288072,1403.42495792289,1378.4746888149841,
170.1,2017.3923389479805,1740.6692897040082,1659.6353620071586,1563.4703758491237,1514.0287468524177,1447.504555724435,1413.643465653619,1372.9646785676964,1347.1026799589238,1324.044951266855,
180.1,1975.4358250449468,1710.4636221340209,1610.6240505351543,1520.493532207985,1465.4555323332056,1400.9868091412009,1369.6672896928171,1322.042480302568,1302.714639138209,1279.1386304273856,
190.1,1969.7077390954998,1668.894147451005,1571.1740169761865,1461.5241484820028,1410.1144091816593,1356.8730269264222,1316.6012784923937,1282.671725918974,1250.067002553607,1224.2834471621857,
200.1,1914.300447461457,1633.5283388136436,1525.0337137806825,1423.9043443096093,1370.0980695266385,1315.5008917938642,1275.6242192823781,1239.760022095194,1211.1053731701388,1190.929680798728,
210.1,1877.469095638,1598.32788112778,1476.9440801221217,1377.916744162334,1326.8642299618105,1273.103139556261,1232.0514516042188,1195.6567919675745,1168.545754889637,1143.5332793152606,
220.1,1868.8335264401298,1544.0429588533113,1447.09915519386,1338.7385646762848,1291.7791018368289,1234.4522733169574,1203.847714176578,1146.8132691402302,1128.6771298300885,1108.511630109615,
230.1,1853.4900398247548,1504.3656390726708,1418.9727724247568,1310.2470906626547,1248.2864610071963,1193.4239098793307,1159.5180831258376,1110.2303638851968,1088.885664591983,1060.4155260728505,
240.1,1819.3427864175057,1486.7551918853396,1380.6236846371096,1272.50020511013,1221.367228074903,1164.9907359919187,1123.6519296056617,1076.848557208777,1058.8295868422229,1036.3048653040403,
250.1,1782.9065692479744,1464.6120839481016,1355.2700636603295,1239.2550855782179,1185.5602328889433,1131.1071440169576,1095.011875030037,1053.4620372485424,1028.7244414016138,1002.7626298291856,
260.1,1765.594378598504,1429.832843780701,1327.5876228931154,1205.0943606921119,1158.9825709712782,1094.636845346152,1057.960605073672,1015.1216579431992,1002.5326767993591,970.5214180557153,
270.1,1782.5645142141218,1408.1826121859972,1294.3283003313604,1186.3569277995962,1123.5223040181081,1067.0628886658892,1030.3145068329934,991.7204515975889,961.4053150248943,939.9270217927804,
280.1,1741.3985556165023,1386.139982074131,1272.1366677177905,1158.623195391091,1107.866207704221,1038.4570452206735,1008.4453595642808,966.7685086429311,940.2248723043762,913.387055314603,
290.1,1726.1289998626464,1355.185866891643,1256.6047954163212,1127.7135658481218,1074.4457650341192,1007.3040477705989,976.4160879178813,936.8615570268008,908.5809292970399,882.7855020629258,
300.1,1724.5235994024204,1348.954497025879,1223.0582781347175,1106.5984332518708,1051.7833879753878,990.7864604875705,951.5722997201347,914.2476753046166,888.1995028661232,858.1841065452991,
310.1,1693.5813605081432,1320.646378753864,1196.1130156855306,1085.143353614448,1034.0674758527734,963.7477728930357,929.0575044649162,883.9417895929993,861.2476416857294,836.6686288345128,
320.1,1678.6378080577306,1295.0716138020484,1177.0621156834345,1059.4031327676596,1011.4809736996896,940.3323263850173,910.060453108438,866.5373715852635,841.3611730345968,815.9100610139875,
330.1,1700.5332342243623,1295.5770117742677,1170.3304998079539,1049.8456986435083,985.4402186300666,923.9978719744179,883.4090893641143,841.0184412080779,810.3339076168014,791.8423985892528,
