Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8993.19989708527,8752.893117488069,8667.04066722432,8573.488652215756,8527.757007695232,8468.85914570005,8435.735111820726,8391.765830100623,8367.849347898607,8345.010567088912,
10.1,4705.015204790002,4467.756855232312,4376.681181255621,4284.945761192661,4238.35770888329,4181.534726581394,4147.368563473082,4105.36444622265,4080.417929212742,4058.0366866906943,
20.1,4065.9204959340414,3824.9389084834015,3738.1668996472954,3645.6458625592495,3597.366890265764,3540.9031758263227,3508.4485057213096,3466.4531825583363,3442.3999619493275,3418.7900057464094,
30.1,3684.8086997736655,3449.487500807025,3362.0218939050137,3269.439099644731,3221.8235602923683,3165.4725973762484,3133.4730550767217,3091.7515763994916,3064.7946930006046,3041.5319121933517,
40.1,3417.863844332577,3184.1291033926727,3095.6638064312447,3002.742640053592,2955.584584735291,2898.290818124535,2866.704940203921,2823.68578188495,2797.758153397719,2776.662194120592,
50.1,3219.2375488612615,2978.50264088335,2890.920423669436,2796.4410778697916,2749.2409333320415,2692.83983717287,2658.6872583297104,2616.137544213928,2593.4361776538212,2571.2904300266746,
60.1,3044.990324692323,2808.3849286685627,2721.693644304899,2627.6492507737626,2582.111821075124,2523.0395034788944,2490.5686985794973,2447.99581152204,2423.2285193360885,2399.579863540195,
70.1,2906.50654943573,2664.8479362546223,2574.258499031245,2483.625275294133,2437.15324429975,2379.4745136106217,2348.560852356502,2305.7961380179386,2280.444277688076,2257.4186423348474,
80.1,2776.559006170579,2540.907152854092,2452.6021125277002,2361.4739431669623,2313.240608887893,2256.9224295135737,2223.5333758359766,2181.1469308348514,2155.202690517922,2133.2369056978177,
90.1,2669.5951680900066,2431.473426996969,2344.9007142299565,2255.379933725824,2202.229729287658,2147.015089290437,2113.5901234185435,2072.915999229312,2047.4589515578923,2024.1085572315974,
100.1,2573.3093599803,2332.205874313964,2245.4862980435014,2152.618825891226,2107.5553229478674,2047.9059765299896,2015.6028954179587,1975.0229717730624,1950.080419355336,1926.1965186100952,
110.1,2482.709783585817,2244.7398577428266,2157.0704298635696,2065.20863775563,2017.544579682786,1960.2535596433736,1927.8312822037644,1885.601598752024,1861.5921375133057,1838.3521636209489,
120.1,2405.634040975491,2166.7894760367767,2079.4205474017504,1988.042499799536,1937.3927331985522,1880.1719814093005,1846.1729968022585,1805.8521442930248,1780.6206699369634,1759.3032130465467,
130.1,2327.414244276651,2088.944074401237,2002.101165320238,1909.01445720336,1863.143783521323,1805.5843989535574,1775.3214942015743,1731.6013498129528,1707.939432704754,1686.2415257123678,
140.1,2254.0920956471864,2020.1316070096068,1933.2430320971362,1840.4889381538394,1796.3990403807647,1736.0647029319098,1705.2831590303324,1662.5488295505438,1639.127031325111,1616.122216186833,
150.1,2194.53938373795,1954.9108943647084,1868.863916593272,1777.9391086144203,1730.4312767592203,1672.4057156239423,1640.3295863392186,1599.3634238263985,1574.3993148130512,1553.5178296863457,
160.1,2136.7633257515085,1897.1933617018828,1808.946346786069,1719.008468677941,1670.8241130249014,1613.6809554615622,1580.6323156463213,1541.3430754222586,1518.1813120594327,1494.4193353068451,
170.1,2078.9950875894447,1842.3543134159813,1752.7793454451476,1661.7426054332457,1618.7426219371052,1556.944423801904,1525.9849571558439,1484.1919602460316,1460.8782955678682,1437.83270339351,
180.1,2021.964980444785,1791.1031789743354,1701.8885911851123,1609.3780584534536,1562.1630973418912,1507.3353551180237,1474.1321840502546,1431.9272549354514,1409.100800291588,1385.4989616088978,
190.1,1976.9969852467445,1733.1833408369102,1653.3679548837213,1560.921640129492,1513.1010989860981,1454.908590704823,1423.9835387257203,1381.5576076851626,1359.7475254964252,1336.2107362828945,
200.1,1927.1071623296452,1689.8038998368622,1602.8727998297734,1510.8898605203115,1466.053457372957,1407.4715011379599,1378.197319584281,1336.1566632580261,1311.6618055959934,1291.620545060868,
210.1,1878.4211566081447,1643.9449387284653,1559.0532990686231,1466.537118771115,1422.0082919759873,1364.251586044737,1333.2119879837303,1292.968088675886,1268.355297336462,1246.492110140554,
220.1,1837.9926995654541,1601.7171675775362,1516.6158332129437,1424.173234518978,1376.6615507475724,1322.0215702110706,1290.9159036740775,1250.5194928436283,1226.3440229692067,1205.1604192346185,
230.1,1802.6613789706203,1561.842689886914,1473.6261301902096,1384.6346717275433,1337.9322246981135,1282.690769274734,1251.9873038863418,1211.0341542271065,1188.276942668951,1165.4479082370892,
240.1,1758.2243696129387,1519.3014408463782,1434.9187150613736,1344.9793997828408,1299.7874070148853,1243.3344821211654,1212.9092574221,1171.1066835768333,1149.01878804561,1128.7908142203055,
250.1,1717.0142164940055,1481.171772169086,1393.2908489690883,1307.0926179053743,1262.7160420136033,1207.6079269437676,1175.3355615092696,1135.7237251326267,1113.3065919578041,1091.7613321749675,
260.1,1680.9118267347608,1445.5449871008902,1361.4440578443648,1272.7340103837125,1225.6155354450718,1175.1898442553586,1141.4823548845445,1102.0386865318194,1076.5303060771923,1057.6097349214879,
270.1,1646.0567561229884,1409.2484517647267,1326.0658486744098,1237.5729643807153,1192.6338197806385,1139.0995491830683,1107.8003359985728,1067.97061282902,1046.2502409137105,1023.6837716994659,
280.1,1610.4170534548257,1379.3191121698314,1295.0569151908417,1205.872238640066,1160.7967257960825,1105.6157009937174,1076.0536338285738,1037.3346940245872,1013.4549346211675,993.7001171807915,
290.1,1578.752590075454,1344.5415775082372,1261.075053716341,1173.915042901801,1130.068149081858,1073.8090808269335,1044.6541778060287,1005.1567709124806,983.9265433716839,961.9542438169732,
300.1,1548.4653412746654,1317.8353021907337,1231.457399650798,1143.2776561857743,1098.5975174229438,1045.0471852380401,1016.3482845605679,976.403136850791,953.9302008872012,933.8845188254485,
310.1,1516.6615678764476,1283.827140538917,1202.3277485435642,1112.5626896620047,1070.0516969939067,1015.560210088154,986.6509813707845,948.7200856518798,925.7762351817249,905.3878896549223,
320.1,1487.1213624022598,1257.422412184209,1174.6869898929538,1085.6679913388532,1041.9120523347092,990.0540418511574,958.4134941257498,921.8377238888845,900.1427902257847,879.7938706198238,
330.1,1452.531353318671,1228.2653399351886,1144.8192053844525,1059.2717673113582,1014.4623908785735,962.7612454402847,932.8192568385857,895.4521593754357,873.7417652333975,854.3742388855944,
340.1,1428.480866831072,1199.186360770601,1119.6666060340049,1034.1862701586394,988.2584832631052,938.2895498286186,908.067323309425,870.4940886114404,849.0955201271302,828.647802455466,
350.1,1400.3942174642818,1175.9627126365194,1091.5042418103599,1005.7287262300514,964.1722968228997,911.5303394966768,882.535592348949,846.830404483611,824.9789478626801,805.1664424424342,
360.1,1380.0748592666127,1148.41067769307,1067.8388183063882,982.593230728333,940.9376864883426,887.5222079770863,858.6496491966635,821.3683943928397,801.1331221321524,782.780173315807,
