Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8586.177471857594,8365.523761667548,8283.18987900415,8193.723850408856,8149.400110643738,8093.826787271504,8062.082635262379,8021.901909917405,7999.566679180164,7977.782281941147,
10.1,4302.448469311403,4075.692859407209,3993.846073372783,3905.6178060346333,3859.936448148964,3807.3639585737155,3774.1592610935095,3735.761111556811,3711.560823397279,3690.010624234181,
20.1,3665.120319908875,3436.9712828969045,3354.771939467313,3267.4717936329994,3220.2157964720063,3166.1273414981383,3135.403613944378,3096.4102860832954,3071.607699349951,3050.196918172235,
30.1,3284.93176040008,3062.0676801116047,2978.5121652741195,2890.233234454314,2846.13653991109,2793.4950400854273,2760.805602883639,2721.2380666475883,2696.67275546601,2676.22069802807,
40.1,3020.4282343429404,2793.9210677880665,2711.299424356163,2623.6821315637817,2580.8747068737844,2526.2878472861307,2492.947360613048,2455.5846591263135,2431.078521090775,2409.602324912733,
50.1,2812.3250451401364,2590.2909971607414,2507.3437970631653,2416.2033097272097,2372.666358489409,2319.7590566781496,2286.5383444144404,2249.3141866197157,2223.809459512265,2202.5745040206493,
60.1,2647.171155761115,2421.0664726580894,2336.041429422777,2249.8252980713737,2204.5425725023188,2149.6866124535686,2118.839663809658,2079.884785908303,2056.3340045787872,2034.4754423346783,
70.1,2502.827959351824,2274.251105665813,2194.5374525760417,2108.033521414344,2061.9651738199177,2006.2390124859305,1977.7437125540648,1936.5965817037106,1913.9604537460891,1891.7976257784942,
80.1,2375.378722235378,2154.145207839721,2070.302498124353,1982.1549006356684,1938.3805428731441,1886.7887756634605,1852.5317900347127,1815.4175763152157,1790.5137907512421,1770.70702897962,
90.1,2269.6999777030887,2044.2032945302028,1963.0639434629009,1872.7701300955532,1829.6772063771605,1776.691208861538,1746.1119775142333,1705.4349247409184,1683.0518998606437,1662.110928178542,
100.1,2173.5138478412073,1946.532180902078,1863.8454630794852,1778.5253934418815,1733.679463470485,1677.720430245367,1648.996442564026,1608.434450719066,1587.3732076268882,1564.8483091945493,
110.1,2079.8646253381708,1855.3527286594704,1777.4338861894603,1689.7805886116598,1645.9857573326417,1590.7244953414038,1560.8757464133942,1524.2689093671613,1500.6009618499797,1479.101884573215,
120.1,2001.6715432380902,1780.5498535389713,1698.4476898881162,1611.322592710504,1565.5718761811115,1513.4514166296285,1483.924888696474,1445.8101159755981,1422.9344465232612,1401.870954905784,
130.1,1923.4641474887242,1703.028780510973,1622.6599197594214,1537.829032518509,1494.1847750634486,1439.502108174533,1411.8797473474217,1373.7561267066155,1350.3107729142644,1329.0223440349814,
140.1,1859.312876926407,1636.2587296064146,1554.5853208895755,1469.7267343777307,1426.3836034924975,1374.1779459694367,1342.640618346664,1306.7711566478042,1284.9060426549056,1265.1790551615388,
150.1,1794.9115137184936,1573.601724984352,1491.9439537210985,1407.956426763906,1365.7330475107524,1312.6835880210651,1283.7872403020635,1245.5734366426818,1224.4173477225447,1202.599026308004,
160.1,1740.9892787192553,1515.2956698114335,1434.956035854609,1352.5033944531176,1306.510766855768,1255.7383242932765,1228.1670458830429,1188.1065013235843,1168.0765318579417,1148.7590630269208,
170.1,1678.648261116778,1456.6423077648699,1381.2612346778799,1296.540823198588,1252.7378060809979,1202.4235668322076,1171.8254681968103,1134.2153274271686,1112.1017874679728,1094.182593228591,
180.1,1624.7144996883253,1402.896659330226,1326.4728531322874,1246.4855496714708,1203.443061758846,1150.6401963828578,1121.3792629277839,1084.65955685709,1064.8529608062877,1044.8169262109866,
190.1,1580.8917121578431,1358.395458326671,1280.8610893625137,1195.352168094755,1154.2270261164758,1105.2473737016849,1077.7154549220172,1040.9327648609685,1017.8087293717845,999.1344628213918,
200.1,1532.1175048189702,1313.8294907782126,1233.3641134859413,1153.7617228135557,1109.0080981554838,1059.8439596919782,1032.7279140574578,996.7994620928254,975.9628523365002,955.1020673320028,
210.1,1486.0047729988025,1271.2715842213593,1193.3700268131713,1109.2636133733772,1068.7984678043895,1018.2520348285223,991.9254269934788,954.8753439535965,935.3363048986135,912.2926240968658,
220.1,1447.6428021558168,1227.0990632887601,1149.3753894984313,1069.5084631025763,1027.7932764033926,977.2633880821668,950.664848282746,917.0448392285416,894.3787824813631,877.5736421848818,
230.1,1402.4480367924546,1192.5381943733053,1110.1174224166155,1030.84924429876,989.6920747413641,940.044255089684,913.8071498833748,878.873258500003,857.0416556232931,839.3318457316927,
240.1,1363.2459942923394,1149.9822772169337,1072.7261481901432,994.620657102591,955.7189104728997,904.8083467873995,878.6163529298553,841.299705669498,822.8235761019434,802.4321648841247,
250.1,1330.9647184119408,1118.991435959098,1042.050839409314,960.7465822470515,920.579512737639,870.8592300304042,842.5936445749577,809.3486136819795,788.3045767561154,768.814245562209,
260.1,1292.3693907730487,1082.2726516268297,1005.6936019816873,926.940032928264,887.9552867183656,839.2272658888639,811.7452846575865,776.2222790092059,757.5421034397489,738.6788306805855,
270.1,1260.772698195503,1048.2065973443875,973.0217908961961,894.1981451757447,855.2735709806714,807.857369493187,779.124311135468,746.2369510148076,726.3126252548451,710.4793535750716,
280.1,1235.6565794433752,1019.5873549381024,943.5749573921729,864.5228365376688,826.5081583794179,779.0964046248644,749.4790258891366,716.593598958464,697.7685455110848,681.0523105219562,
290.1,1205.6285513916287,987.5898132998445,914.4186824888764,837.702581054583,795.2526173319691,747.7783749831947,722.9372488832599,692.0046800195817,668.4706000953073,652.1827635680443,
300.1,1172.7381974573238,963.001345569298,884.9590946707805,806.5838282161833,768.078781136906,722.9508171652074,695.1582054475168,661.5939894494061,645.0815597279402,623.8095999483071,
310.1,1142.1569019206352,930.6516246965267,858.7396591054604,781.162045929453,744.2584428096543,696.5560211872818,670.9067089290705,638.8584736843269,619.350886353801,600.9046961755046,
320.1,1117.1362936593782,910.3057890142613,831.2931854032958,756.6833180018128,718.1808459645483,671.2728724858216,645.6932290915751,611.6146690243736,594.3762675617484,576.3989343040037,
330.1,1092.4470079086423,881.7394188292749,807.9871530333178,733.2218977267631,692.7729539435549,647.3675823119632,621.7568133857322,590.6493776047906,570.5548389182302,554.4597904195776,
340.1,1064.0090954594086,857.1479551961545,785.323354485348,706.7893125164453,667.2209271505269,625.9393472304674,600.0966685620086,567.6519780984413,548.1817815665684,534.3707802257545,
350.1,1041.1958015277396,833.2610671946181,759.5896850157206,684.690217112495,647.7135938559361,601.3506044912133,576.7706707769655,547.2867605915271,527.8971867347938,511.4031229818782,
