Distance(km),JT = 1,JT = 2,JT = 3
0.1,9486.321795,9546.464218,9635.531606
10.1,4775.989546,4845.159423,4940.476685
20.1,4075.787654,4144.119396,4211.540639
30.1,3658.934326,3724.917643,3820.381028
40.1,3361.155771,3438.965887,3525.135941
50.1,3138.268408,3205.47,3283.476254
60.1,2951.552398,3029.601779,3112.657932
70.1,2797.111603,2870.935199,2949.056515
80.1,2652.92124,2732.897547,2825.12987
90.1,2539.576397,2616.984691,2705.167725
100.1,2433.684189,2501.325222,2595.809188
110.1,2327.615476,2411.533691,2507.015599
120.1,2240.71715,2321.050045,2415.789713
130.1,2165.153489,2241.352484,2335.114481
140.1,2093.009401,2168.954355,2275.739059
150.1,2010.830888,2100.359583,2203.461359
160.1,1944.493468,2041.846462,2149.932911
170.1,1889.710061,1973.731901,2077.299466
180.1,1822.106774,1913.563836,2019.428063
190.1,1772.516612,1850.971868,1964.063619
200.1,1713.674521,1807.446723,1909.193874
210.1,1675.147752,1762.246656,1856.55142
220.1,1614.945517,1717.129822,1817.5408
230.1,1576.197853,1673.148887,1776.065633
240.1,1529.846542,1630.08765,1725.746635
250.1,1491.649321,1580.623942,1706.877224
260.1,1444.798761,1547.23502,1656.904584
270.1,1406.339389,1505.260441,1631.276231
280.1,1373.772782,1481.416993,1592.007069
290.1,1337.494628,1439.42357,1564.887097
300.1,1307.262834,1408.470905,1528.254178
310.1,1261.317277,1366.625621,1475.756906
320.1,1229.180395,1336.543629,1458.090877
330.1,1199.224511,1305.731982,1424.637124
340.1,1157.569559,1279.524058,1401.66582
350.1,1141.24627,1257.577393,1371.094719
360.1,1125.803706,1222.408277,1341.17131
370.1,1081.056216,1195.694882,1314.933594
380.1,1054.71655,1163.352698,1301.586014
390.1,1036.778713,1144.046488,1282.449043
400.1,997.8840472,1124.143335,1237.711286
410.1,970.6925466,1087.424498,1241.624256
420.1,947.1057673,1078.988062,1196.653466
430.1,907.5608628,1054.475269,1201.223137
440.1,891.8961535,1036.733883,1154.220906
450.1,876.4075993,1009.162162,1144.87691
460.1,839.5100749,973.4551978,1134.143905
470.1,836.2404272,962.2457015,1106.232076
480.1,792.7937309,945.2768671,1083.464384
490.1,784.4683411,931.6779965,1056.426534
500.1,754.9369739,906.5130964,1056.74383
510.1,742.4954835,897.6982952,1028.037642
520.1,719.207621,887.8882009,990.5587278
530.1,698.5880888,859.102664,985.8557925
540.1,674.9523443,823.0001672,988.7198967
550.1,673.905574,808.8353505,956.3941147
560.1,644.782442,800.2904521,947.6240672
570.1,632.7645394,789.4635213,933.6375884
580.1,599.4034997,775.7126731,925.8875153
590.1,593.2785191,762.1064531,915.8902284
600.1,571.8440566,726.221192,912.1901135
610.1,565.0796132,730.0764253,886.7224195
620.1,538.8851504,720.5960854,880.2666232
630.1,522.1336522,704.5986555,864.0597246
640.1,509.8776107,672.1574745,851.5207579
650.1,498.718607,694.9919202,846.2802314
660.1,469.4242093,667.1859091,829.4015768
670.1,448.4719016,649.2840539,826.2429076
680.1,450.7579328,660.7515115,791.6070015
690.1,434.5485247,644.4462305,791.5301272
700.1,428.8101363,625.9494115,792.6981023
710.1,418.3056979,619.4006521,780.4124145
720.1,373.9181156,602.8224624,778.7544698
730.1,392.0887595,587.2054983,778.5519254
740.1,383.4353197,584.7154906,757.9818065
750.1,363.8942071,578.2869697,746.0978784
760.1,344.1369436,582.7840697,736.2527757
770.1,331.6731183,570.1070418,743.2052603
780.1,335.486837,549.1724113,725.082508
790.1,308.7254551,564.8270051,720.5014826
800.1,299.8328399,541.8032395,714.8993468
810.1,300.2417209,544.6155501,716.6126614
820.1,286.064737,525.3740461,696.0806683
830.1,276.466897,526.5423897,707.6861064
840.1,269.4380952,529.4457921,698.849594
850.1,251.8467868,515.9135558,693.5884676
860.1,240.6313127,520.9429731,700.6032206
870.1,237.2952776,501.8362577,691.3592098
880.1,237.674035,507.1139523,682.4355378
890.1,229.9338628,504.371804,688.6084443
900.1,253.0143228,496.1118253,686.7238842
910.1,216.123796,497.9680431,685.2605117
920.1,223.6939907,490.271845,684.0437725
930.1,231.6690474,491.8573073,693.4601257
940.1,238.0821954,471.035136,677.9927291
950.1,234.785562,484.3329231,684.8852831
960.1,242.6457608,498.6221027,681.2591162
970.1,246.4239339,506.2804988,679.3980961
980.1,259.3652508,484.2600107,687.4063248
990.1,245.6922117,500.7626856,671.7695724
