Distance(m),JT = 1,JT = 2,JT = 3
0.1,9154.024528,9460.326964,9556.813149
10.1,4398.146036,4716.996173,4840.564082
20.1,3677.088914,3973.36004,4169.759633
30.1,3340.600213,3627.449744,3742.247678
40.1,3067.091599,3238.192686,3359.252417
50.1,2773.174874,3034.777382,3142.282166
60.1,2641.429503,2870.557935,3108.018271
70.1,2486.192363,2670.745944,2932.772465
80.1,2299.999719,2603.178345,2704.664466
90.1,2099.160675,2434.661241,2623.008204
100.1,2113.140254,2390.83655,2514.971647
110.1,1998.778531,2293.29492,2373.126142
120.1,1962.383279,2190.958483,2335.20896
130.1,1785.652126,2033.29329,2260.372416
140.1,1761.582543,2034.332035,2156.898472
150.1,1678.453189,1915.443279,2064.919928
160.1,1661.046375,1810.64241,2010.0746
170.1,1515.329797,1828.53772,1939.217398
180.1,1494.161029,1770.563644,1881.614761
190.1,1431.346477,1737.735474,1880.29066
200.1,1453.07912,1697.992755,1809.05018
210.1,1305.626213,1675.209893,1793.382663
220.1,1349.941053,1562.763204,1633.890507
230.1,1223.347302,1518.789423,1699.617119
240.1,1161.013609,1459.374298,1660.582316
250.1,1311.446432,1520.046745,1617.577986
260.1,1176.177657,1401.623368,1550.248205
270.1,1086.350084,1371.087503,1479.982801
280.1,1051.025338,1243.800497,1473.20197
290.1,1080.442797,1267.21285,1430.786656
300.1,1121.702729,1289.320944,1450.122694
310.1,930.2111932,1252.634103,1470.416239
320.1,967.3570163,1128.481063,1374.133425
330.1,902.965993,1235.251891,1323.243164
340.1,893.1256267,1132.181094,1321.248566
350.1,869.0074502,1105.416463,1314.681256
360.1,856.6208142,1082.868872,1287.909177
370.1,814.031568,1041.909945,1237.432776
380.1,834.4912389,1031.882592,1253.155646
390.1,773.6271461,1000.556267,1236.711692
400.1,778.1098228,1035.006395,1226.641364
410.1,818.07454,990.5742357,1207.768278
420.1,714.3690734,978.1317308,1151.862788
430.1,757.7962891,953.9531265,1119.353295
440.1,672.6178853,949.9576275,1130.830127
450.1,695.7461843,906.9048487,1067.704686
460.1,632.0907609,858.2420233,1046.655205
470.1,690.1191202,932.2796368,1062.206011
480.1,652.7822984,865.4910919,1084.691126
490.1,614.9293933,869.2571982,1019.618274
500.1,658.6010458,864.1802184,1008.878574
510.1,578.6579282,837.1949119,996.1652033
520.1,601.6134788,802.4629497,957.1107926
530.1,606.2916602,788.7128166,990.7019114
540.1,512.598822,818.537333,1007.242997
550.1,581.2603342,798.4606766,942.8524818
560.1,530.3290412,744.6851272,1015.86682
570.1,512.7204728,799.0795363,914.9834081
580.1,461.1762715,739.8811935,942.6963596
590.1,470.6216234,735.0227874,894.0723412
600.1,493.7916971,730.5563106,921.3725486
610.1,474.7973567,739.6521343,879.3039682
620.1,461.6573676,765.7571445,907.7138582
630.1,436.8862286,706.2073949,880.1131438
640.1,472.6535262,687.2168935,886.6957338
650.1,437.0173678,701.3637249,831.3892267
660.1,443.4389446,722.3842818,828.2443838
670.1,435.020071,692.2457815,888.4582694
680.1,420.269249,657.3878939,822.4106988
690.1,448.4444908,654.7742564,862.7220519
700.1,405.1876297,680.1847238,842.3481748
710.1,377.0872668,662.9843967,864.6876587
720.1,378.0191321,637.4832569,804.6813853
730.1,404.8693608,637.1723926,796.2967934
740.1,409.6741543,614.9370175,824.3820965
750.1,423.7161595,606.6425427,795.7125448
760.1,387.5286331,630.3250378,818.5892837
770.1,387.0819782,638.480736,835.6402046
780.1,383.9968045,599.2248525,814.0611104
790.1,365.7516107,595.3026028,782.8769081
800.1,368.5531782,572.7985755,734.0831877
810.1,376.5133751,646.4617719,807.0010199
820.1,350.9175518,597.8996288,833.3448796
830.1,370.740423,606.4859667,778.6728974
840.1,356.8273576,595.8052007,773.1328934
850.1,360.1743014,588.5353989,777.7629943
860.1,360.4338472,652.8408365,791.554448
870.1,371.3959309,592.1972569,742.9821817
880.1,377.4469302,572.8848329,758.7556342
890.1,366.8063622,559.0032193,752.1744496
900.1,351.7529217,613.4357381,781.7747244
910.1,366.4308675,566.9619183,781.9159965
920.1,375.8075898,595.4741568,752.6097787
930.1,367.0589487,597.9838566,742.4883483
940.1,375.9894014,593.9112445,771.890252
950.1,360.0045332,605.2040996,721.0187791
960.1,357.7118833,588.250812,775.8932855
970.1,331.4351302,559.9002623,757.0964486
980.1,362.025056,608.4795665,762.6199516
990.1,365.3267893,605.6003176,808.5292071
1000.1,368.6903524,547.7416176,760.6792176
1010.1,367.5450622,601.5644532,788.2486984
1020.1,343.3890669,577.2067207,770.6685072
1030.1,379.5105533,580.5781387,761.0096613
1040.1,363.7546445,616.7867082,777.6821484
1050.1,363.0782491,607.6789083,765.2821988
1060.1,352.838273,542.414633,773.1225142
1070.1,329.9569781,601.6040226,770.4662467
1080.1,367.8788884,620.2056518,732.3187676
1090.1,376.2651117,585.2679811,768.0717984
1100.1,413.7892744,606.0083048,760.5876704
1110.1,376.8452275,610.2059402,738.3503635
1120.1,361.8280974,589.373025,810.6256489
1130.1,425.8186398,601.8409046,793.8675961
1140.1,364.9555083,653.1349286,774.206331
1150.1,375.9060448,626.1859997,771.952491
1160.1,386.6034147,599.7248888,790.2539694
1170.1,393.7451927,662.2235489,808.2361341
1180.1,356.5565738,641.1670228,820.3037221
1190.1,395.2274092,602.0449063,814.0160163
1200.1,381.013164,643.7413578,807.6131978
1210.1,406.3534818,643.9396831,795.2534657
1220.1,402.1823328,670.4875495,823.8809013
1230.1,382.640583,661.9236501,848.9003471
1240.1,419.5320588,632.4728323,794.8879792
1250.1,419.1739973,662.769331,783.7532541
1260.1,463.0963846,658.8834154,864.4231497
1270.1,458.2254882,681.4856607,828.2792667
1280.1,457.1560058,693.5210795,833.6404833
1290.1,412.8643668,664.7921011,849.6209656
1300.1,453.4265048,633.803992,890.7033834
1310.1,440.3939852,703.3593161,877.4211839
1320.1,453.3393455,739.7232863,891.6168598
1330.1,484.4586913,734.4072174,961.6625577
1340.1,522.1974965,691.8928055,893.6093872
1350.1,538.7438118,772.1412654,878.2589901
1360.1,460.2837296,752.7420855,923.6195903
1370.1,500.1162662,743.1599636,879.8547307
1380.1,509.3453847,762.7095138,879.6081865
1390.1,571.7260483,734.6588549,879.7302315
1400.1,497.1115018,781.9728574,902.8778171
1410.1,578.9350341,800.7042291,887.955571
1420.1,497.0139507,755.6802617,949.8600077
