Distance(km),T_avg (kBps)
0.1,7508.435905696124
10.1,3614.531318080134
20.1,3065.222719337444
30.1,2803.9787938008426
40.1,2416.550890208726
50.1,2438.078007108095
60.1,2191.7608170138733
70.1,2048.292686518441
80.1,1882.2127428519336
90.1,1780.842337352665
100.1,1734.9915405070078
110.1,1645.9097061470104
120.1,1574.99515769271
130.1,1558.4743972195447
140.1,1481.0218922121117
150.1,1389.9418319542708
160.1,1370.7681993334832
170.1,1267.8348374898808
180.1,1249.3201084599168
190.1,1215.146546635401
200.1,1191.904684337912
210.1,1121.2863360469541
220.1,1087.5272969579423
230.1,1049.884003952427
240.1,997.2081488415819
250.1,1006.465226784246
260.1,973.3499338109799
270.1,933.8970354351379
280.1,887.9793972803367
290.1,881.4199472935592
300.1,863.5245164546826
310.1,800.90429593987
320.1,808.87191925993
330.1,792.8031439789887
340.1,773.4480570661533
350.1,733.2249618652506
360.1,738.3361062729658
370.1,712.1166089070506
380.1,700.7724476415143
390.1,685.206668155603
400.1,666.5783759555052
410.1,650.9275525362059
420.1,632.7317352912767
430.1,625.0708190246653
440.1,615.6978573071118
450.1,598.9253938833089
460.1,591.56438676572
470.1,579.4165977274514
480.1,543.0370046774699
490.1,544.910626400629
500.1,556.2670017386611
510.1,533.1913228150837
520.1,532.9178284297194
530.1,507.7493183323421
540.1,499.5173140105083
550.1,497.9551815017311
560.1,473.4936391671583
570.1,458.69707486837876
580.1,471.6973750641988
590.1,458.50345062447593
600.1,445.29828554170626
610.1,433.10598592784424
620.1,429.89115608823494
630.1,442.59844187623247
640.1,420.4086990195225
650.1,438.5987980048506
660.1,406.05180839058346
670.1,388.5572885386707
680.1,389.6717757322964
690.1,402.4348645828027
700.1,393.841932641143
710.1,383.8375324390505
720.1,394.38136387668635
730.1,391.28680180374596
740.1,367.3611088714632
750.1,385.8596967130044
760.1,389.14076106780806
770.1,364.3471329928724
780.1,372.72834299544087
790.1,369.1394702742688
800.1,365.29970191554247
810.1,361.63324177117295
820.1,360.12084884412
830.1,360.81103310508496
840.1,355.78367276081065
850.1,350.5356586190434
860.1,348.8500498916721
870.1,358.9032033100689
880.1,346.57294389702145
890.1,358.08243506412606
900.1,350.4243204212644
910.1,345.11719355264097
920.1,346.76956892954706
930.1,361.7739085740028
940.1,342.7124767759866
950.1,354.14082703836516
960.1,344.3959076210588
970.1,353.8855291774459
980.1,350.12839181486413
990.1,339.33685457608243
