Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,9038.519855138113,8794.221589704262,8705.154901519072,8423.00474252081,7691.498654059393,6440.371759885173,5832.973128286313,5076.709296050624,4651.940962422269,4278.233897556662,
10.1,4754.488579846065,4512.1163605628635,4423.01343402684,4231.631373713988,3852.915411301544,3225.42156303019,2909.3306072716946,2529.7443395509777,2315.3097943599605,2131.155680949087,
20.1,4117.219451649412,3873.7530658326464,3782.055819589012,3608.219085026323,3274.4296676598183,2739.7112288635617,2475.8414071690268,2148.5946461432254,1968.5474516801742,1812.0037153389303,
30.1,3740.181176498672,3495.521286939177,3408.482540173576,3241.6705172092998,2945.057802319182,2453.834320446429,2221.5490843256366,1929.5996632749925,1764.5782189446236,1623.4285484464078,
40.1,3467.529448735742,3231.472712840832,3141.5986451014624,2981.1073834002677,2712.4980245383526,2257.7632781379293,2037.520076013052,1772.6874150081644,1618.6937356709059,1491.1137901800823,
50.1,3267.732880436838,3024.740603110689,2933.6479609361536,2783.2717565788166,2521.9570385024804,2102.3334969792586,1897.2260828938713,1646.6147447785124,1506.8909467160242,1386.9121026904386,
60.1,3103.897186603831,2855.361061918645,2766.9434769684453,2621.8662242827054,2371.1840305696937,1977.2439814678223,1781.4080549830787,1547.9396850648623,1415.078106300198,1301.2578655771108,
70.1,2958.585571792249,2710.042187563564,2623.6474892450583,2475.8006488910573,2241.9999478539416,1865.8924390200004,1686.0641611165627,1461.2050370588277,1336.537684768824,1229.4102766538094,
80.1,2834.5646287205245,2589.113634694956,2499.362032689892,2355.283416896591,2133.060573185437,1773.6439316314463,1599.8395239084846,1388.1815343068922,1271.0243272801479,1167.1961173855343,
90.1,2725.103740665228,2481.5004122528408,2391.149126110058,2249.7640974960173,2035.585182901162,1691.5416330682092,1526.1590328787463,1322.3326776618508,1211.196529444945,1113.3464776232533,
