Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8931.689328163224,8690.555301834034,8604.213064032174,8510.271014921813,8463.056652642163,8404.079353789684,8373.446711152741,8331.217875600103,8304.698314680476,8283.328227641441,
10.1,4645.399321873014,4406.689488406603,4318.958486512454,4228.330988505344,4179.848166056008,4123.085487242208,4088.9548195500274,4048.088797554933,4022.593943914724,4000.616486622532,
20.1,4005.3332689714584,3767.1077059175755,3681.093787158942,3587.8641651785565,3542.1974843430794,3484.053627503076,3450.5968108111183,3409.3687900978753,3383.2555583871135,3360.8527350673494,
30.1,3630.7039048677225,3394.161233718378,3305.303876794451,3213.8666481047503,3165.267927941908,3109.745200671004,3076.4389558436906,3033.992002341192,3009.061475416314,2986.6840270398798,
40.1,3365.9035558221294,3125.877771770376,3040.332533992358,2948.8588360470376,2900.6904051476427,2842.5269659157407,2808.523507506049,2768.2663072920586,2743.8604075795793,2720.5008809178967,
50.1,3158.4899638070315,2922.637281867987,2831.8633021673727,2741.184300763537,2692.791102284208,2635.0583207019554,2603.0769024152432,2560.1231691758385,2535.832519950877,2513.8422517405065,
60.1,2989.304502310903,2751.7437335318505,2663.4606966814754,2571.3562463469775,2524.531268148688,2465.345437386563,2433.608114121302,2391.448758003646,2366.716721783883,2344.7633230745582,
70.1,2847.3764240327355,2609.0300817318644,2521.2177055109614,2429.7596617566405,2381.530087001179,2323.8462488193695,2291.0919663293625,2248.2498989745573,2224.2816015917183,2201.258707250225,
80.1,2721.8900808552294,2485.7848084040706,2397.43439458996,2304.1766856096046,2258.497702472943,2199.3877862401446,2166.7319965962038,2126.087882033698,2100.6408829312436,2079.583775735364,
90.1,2614.2584787633964,2376.0498808385128,2288.1090559672084,2195.8225327592313,2147.94897433242,2091.435398018412,2057.3340103840696,2015.849755871951,1992.079797122074,1968.4821984972177,
100.1,2515.5313983186497,2278.5063548110597,2189.1055743066913,2098.3204907979834,2050.5403026112076,1993.0958836978307,1961.1931424899092,1918.40401634319,1893.753288896628,1871.1282627573723,
110.1,2425.179225494588,2188.7347152466155,2101.572029232467,2009.7523112367662,1962.5287087964302,1903.9311026533505,1873.6088555348852,1830.0591914659374,1805.5313451767206,1782.6521218660137,
120.1,2351.8283088257235,2107.583915558039,2020.9459381474119,1930.7576737875775,1882.399951939247,1824.686679712345,1791.8512292133528,1751.3142459940266,1726.404300650609,1702.8279296716935,
130.1,2271.6346481037135,2035.5538309021908,1946.5904552840702,1854.0947990034035,1808.9284461408859,1751.8599991285416,1718.7604515765809,1676.9331486182348,1651.2230069542875,1628.8407162822305,
