Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8368.118002505105,8371.345737623007,8371.60650317246,8369.451228196276,8370.308392431873,8369.7628358967,8368.983047720441,8372.82864446144,8371.370761015844,8372.808429396055,
10.1,4044.806440123563,4046.4412853453036,4046.266242434854,4049.269342111047,4046.804430331301,4047.0449706448762,4047.5910904264297,4046.4316606575767,4047.2655372492554,4046.166518665415,
20.1,3406.118431054906,3413.156214978554,3410.2624424761443,3409.600334711593,3408.9279507229357,3406.385456880315,3406.5927915881375,3407.8980108486535,3407.73913802844,3407.288499478171,
30.1,3032.2200658611628,3032.985551797655,3033.968557320821,3033.2227407210453,3032.7165982920187,3033.137238566553,3032.987072974319,3032.2482825912803,3032.4540738597016,3032.639232812586,
40.1,2765.7941030252614,2765.4025385710484,2765.3882879693588,2766.44865544608,2765.869519195731,2765.9535794580997,2766.4936882062316,2765.8301570336375,2765.626570365908,2765.9567216708265,
50.1,2562.5402489330104,2557.602793763137,2560.628111979566,2560.251204901537,2559.3713550982748,2559.116954635177,2557.809872179652,2558.571812927465,2559.5549409074306,2558.04312757694,
60.1,2390.564573885429,2389.9220874750963,2388.8232010233596,2389.0703276268305,2388.92073757329,2389.6328917440906,2391.0595619725186,2390.356308324858,2390.429475677592,2389.016387395338,
70.1,2249.523045016219,2246.3270331524704,2246.7641163191915,2245.293121429195,2248.7467958047087,2246.4931654548136,2245.75849966682,2247.796225544178,2247.6631812679075,2246.2218901994966,
80.1,2120.873832013606,2123.328263746554,2122.7624922353903,2122.482607404229,2123.319602261433,2123.2978930055724,2123.5123025446874,2122.706322624249,2124.5978483371855,2122.2470239903378,
90.1,2010.7789697782018,2012.9917161853568,2011.2782728567265,2016.5800275698966,2015.1409870570694,2016.0940112112191,2015.2244117084851,2014.5795691839442,2013.746953491372,2014.773040865465,
100.1,1918.3694113374977,1916.5374253414645,1920.1239091023099,1916.4642994283408,1917.854577462356,1917.8240301487128,1916.822601971292,1916.256621758046,1916.1550322776784,1917.0674814465558,
110.1,1827.2186923146544,1830.1401166756123,1828.063679116179,1828.2975709706818,1827.3578136731965,1828.3182838775565,1828.855775112465,1828.9518673209511,1828.0446590461256,1829.1493900165706,
120.1,1749.5284765630436,1747.0539408010084,1746.8649131836637,1749.9607110080408,1746.8063934284398,1747.7430697546151,1749.762473255515,1747.1957634422834,1746.6204718306233,1747.844531901908,
130.1,1673.969387895968,1678.4676926993068,1674.0338089136471,1672.7749035242932,1674.882212635518,1674.7163001961783,1672.1348351409226,1675.5014652539812,1673.8356133628713,1675.2720963154484,
140.1,1609.236491997086,1606.4486481724043,1606.136506014743,1607.1489806365405,1606.4824833318098,1605.033104646145,1606.7447100528998,1606.6531918956102,1605.8267471610216,1605.1608478227436,
150.1,1542.5196950893871,1542.652479239049,1542.9016622068386,1544.6041663164897,1543.6386745715592,1543.0849848502876,1543.12954663401,1542.550225116285,1541.6455915023548,1542.8630479118224,
160.1,1488.004418983908,1481.2480524746402,1482.764504028882,1481.2982827746437,1484.323140690053,1483.4173909033423,1483.83259403996,1482.7731306306835,1483.527546841322,1483.5166850141607,
170.1,1430.6274134432895,1427.3676441282087,1428.3797477697976,1429.4001215946155,1427.3963006434203,1427.7390073651436,1427.0793837105662,1427.2439970305138,1426.0530071235053,1428.3541344378111,
180.1,1376.093004852042,1375.632202550052,1374.922222095235,1376.5705112885366,1377.4553952667602,1376.4856110505298,1375.4293209304033,1375.8980093848756,1378.0133928609507,1375.421839293411,
190.1,1326.7709217652596,1329.3125264665798,1325.931731517671,1325.1074527019596,1326.7384974722975,1328.8196974164246,1324.7420555906576,1326.2766940995155,1328.2902040521774,1327.8498850747026,
200.1,1284.0392309696063,1279.6869984979107,1283.1509454347288,1280.0627623777877,1278.242201617727,1281.449255807613,1280.664076744407,1281.2584088955002,1280.359319441162,1282.3960295389295,
210.1,1238.1079302667567,1234.7891176257076,1235.77487747381,1237.6029303428477,1238.0081566400308,1236.164332887081,1235.208782110732,1236.871976927559,1237.625657462633,1237.193436104249,
