Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4
0.1,8702.034497026418,8328.796034488809,7112.582084686904,5528.236997609504,
50.1,2936.6093972563094,2800.6095360815807,2402.8678114203185,1862.435714435024,
100.1,2286.6774785928947,2192.1500114152,1882.343907343132,1458.2938733142248,
150.1,1914.2475484126383,1834.1386182032772,1563.7702994748,1219.3304082220714,
200.1,1657.352298024103,1589.4100608510096,1355.191235468926,1051.14759256604,
250.1,1463.0485819052928,1402.1354008845321,1197.5471573310372,927.2519194319805,
300.1,1308.8590167267384,1251.836943771622,1073.2260201176434,833.1091938927615,
350.1,1181.9603821281014,1131.852997980593,970.9085120631366,755.6812568424456,
400.1,1086.3323734209634,1035.5799643307012,888.6853156867702,691.056220633625,
450.1,996.2203622528596,953.7256344368045,816.5827386244899,638.6055907478169,
500.1,928.4228270847523,885.0212252214976,763.961204375885,594.2055268913186,
550.1,869.3883931226507,836.5942369425649,716.5598626903572,559.1157581697775,
600.1,827.0091212895306,788.3440332687926,680.4741391488267,526.4651784639761,
650.1,783.938136124782,755.7488727015997,650.6768414645403,508.29698696404716,
700.1,757.2631622403615,730.2144391183226,624.5370378317227,485.49494753897096,
750.1,730.7928558417708,705.5257603107169,608.8623273308132,473.1429199814314,
800.1,714.584662629729,687.3362022363335,592.8669315751146,465.49142517907467,
850.1,701.4652843853235,676.2137155697505,584.9952489038893,456.0932130663357,
900.1,694.9842227855689,671.6284608943012,582.9051497226503,452.1012742570833,
950.1,692.5890385011201,667.5801407715921,581.4251648726782,453.1134272461801,
