Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8978.547809833775,8731.967684112604,8205.026970183137,6425.097204135048,5488.756248379079,4477.843253415018,3978.653063089998,3407.8457927123536,3110.8276199705433,2857.973278329868,
10.1,4695.599854630329,4449.909548014264,4149.378718757141,3237.796277662413,2765.9391414743427,2254.4067372559134,2003.548155683129,1716.128607962176,1567.177728951268,1440.1773351319107,
20.1,4060.1281110858486,3812.097873663341,3544.5890366671238,2766.850182482865,2359.703002802589,1924.2914481478501,1709.258666571703,1464.7819103188588,1335.788566510657,1227.5423290607466,
30.1,3684.448882666666,3438.1729826277906,3187.4001395641394,2486.343727004107,2120.874957803005,1729.2514199373334,1535.5222032942443,1316.0859366041486,1200.584971811245,1104.0953714855245,
40.1,3417.280476840388,3171.123449481504,2938.418930363714,2287.9817636513812,1950.0470682973853,1591.789978565703,1413.2639896480598,1211.7893832632772,1105.4246971727987,1015.9060081221821,
50.1,3213.7996339202764,2964.933949009799,2742.6416122018477,2133.946418379218,1820.7304032342022,1482.946178575339,1319.3658609814222,1131.1152506432306,1029.5493851524761,946.8032327439756,
60.1,3041.5202504902413,2798.2084387755726,2582.1304360380514,2009.2256805454774,1711.9657039445353,1397.0700118220632,1241.8258793504983,1062.418285010518,969.5002992440387,891.0372707099302,
70.1,2896.89020841201,2655.0230869606203,2447.0344178166315,1901.8502641623852,1622.773918806838,1322.2231005782464,1175.953026281126,1006.1214380056451,917.2744524381902,844.094997197488,
80.1,2773.9481821098293,2528.9812750632464,2331.718021805907,1808.0567181684896,1544.200890334044,1259.0691909565778,1118.6021990307904,957.4805721022603,873.9926181899041,802.790098569089,
90.1,2667.2735760505616,2422.225791924007,2226.1049961729486,1727.292818289948,1474.679461844352,1202.423328574376,1068.71621785503,914.9158075894102,834.5702367282773,766.4158320488549,
100.1,2568.797605435918,2324.3965861446713,2133.695799424585,1656.8319065134276,1413.0194555024489,1152.0596926699457,1024.23667893524,876.5425797125449,798.7691440020037,734.62570820011,
110.1,2479.0829517048423,2237.1739572154615,2051.2277360309718,1592.2127227144238,1357.7450860692593,1105.2679806846897,982.9330833132213,841.7608244944498,767.9057284664614,705.1123138949292,
120.1,2398.8396005802174,2158.9542442603265,1974.0560656472971,1531.5096153305954,1307.3002465490133,1064.6431798930605,946.629528150279,810.1452852070197,739.4143747359552,678.8249398647719,
130.1,2329.6775338005173,2082.0131530180024,1904.0160973781567,1477.4558294632322,1260.5816736282054,1026.7685573106364,912.1432472490997,780.8068137440856,711.9306588265601,654.9666156768199,
140.1,2261.5576900631427,2014.3877279289472,1839.7176235379454,1428.6999651042106,1217.3826924640784,991.8228163341789,881.5077029187288,754.434467689975,687.9967842972419,632.3564491251025,
150.1,2196.1233672076464,1952.5289295487712,1781.3022498880707,1382.3691376230645,1178.6121711518276,958.8386443790323,853.1365630665878,729.2624898181558,665.5120498558982,611.5411882190715,
160.1,2137.787726457359,1895.3026882163624,1726.7953051602483,1336.5729655905802,1140.761685428485,927.7739902686433,824.141832878847,706.6111975866776,644.148412179656,592.2905964810079,
170.1,2083.01187550215,1839.6713386537483,1675.7045539866917,1296.7327631887651,1105.0212247401569,901.1257173414599,799.2544460204415,683.3912534516589,624.873242381847,573.3972461042684,
180.1,2029.1598709093787,1785.7659448085203,1627.009686563011,1257.906208428888,1072.0910128199723,874.282910263336,776.7525125053587,665.0093823420208,605.1356783449836,556.7257072425998,
190.1,1981.8195698695476,1739.704580071452,1579.603559930883,1221.2977976465397,1039.7678000051742,848.0125526158977,752.6555177612075,644.9464463290325,588.4311802452718,541.4131804658812,
200.1,1932.8256791683443,1692.925045419637,1538.462862295432,1189.2620998776988,1013.8214775758939,824.9669281294116,733.0552358656589,626.9266279861212,572.7550429504885,526.0553187220257,
210.1,1894.2687456032252,1651.1877627044266,1495.8760196437531,1154.7756150702533,985.6163907008969,802.4062949903582,713.2377033097508,610.0483560602254,556.4442348790029,511.76521477111044,
220.1,1847.5963799272565,1610.3118827504024,1456.258813369263,1125.0917329777292,958.8958055301745,781.4268314612757,693.256660963829,594.2954708399749,541.7693130600031,498.107891095317,
230.1,1809.4414101447524,1569.1827265492389,1421.025820171441,1095.5817984172488,933.8662169380415,761.2299733150468,676.5411517801473,578.0650847680627,527.3402617144325,485.16898504024306,
240.1,1774.6627506265809,1532.567794546338,1385.7324291699326,1068.835267080307,911.2402640353483,742.2089890059693,658.6857713090141,564.2846312469896,514.0367942615271,472.6621212027139,
250.1,1739.9541150521466,1497.3052916721626,1350.4300223368068,1043.3494124974334,887.5376860429593,723.5868185208857,642.5668377759113,550.453582993006,501.64513263937795,460.468993690797,
260.1,1705.2381408193478,1464.2219813522763,1319.4240559593352,1017.0564369553128,867.3826491662641,707.0243821891668,626.9506202065727,536.7401043259345,490.01446164440193,450.0150607830905,
270.1,1668.953605851106,1431.8568774793587,1288.6718588910724,993.5948653578245,846.5559627799071,689.4457931410882,612.7438645250642,524.6243430582872,477.5368779112249,438.99153959437564,
280.1,1644.5873008861984,1402.184003266346,1261.6030244313845,973.5810671442661,828.2158852767443,673.8810601033535,597.6772015924222,512.1167647924424,466.51978149271525,429.2738711769892,
290.1,1613.4013743296932,1372.6666793731833,1232.4263552998748,950.4443592161477,809.3754333439797,658.9304054222421,585.6482343908034,500.71011082539627,457.00713202337164,418.85594434696463,
300.1,1582.9100488545143,1344.9825217461346,1205.2121118414914,929.3580382619668,791.6354885898555,644.0038757854584,572.0140930059166,489.8690251241938,446.6068898289401,410.4994408791526,
310.1,1558.1195851435773,1317.5683861046573,1181.0481523629667,909.420769082234,775.5011255630395,629.9503322995109,560.3334907419973,479.8198952982708,436.9199271679331,401.51946329374357,
320.1,1531.8954166719725,1292.402846990041,1157.6715589175417,890.0284150634818,759.2750920642338,618.0001617376394,549.059194028162,468.98812815023246,427.74566189787384,393.15732492019555,
