Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,10699.687134730882,10698.25122149744,10701.102291758825,10701.049554312456,10698.397064238192,10700.629000082336,10699.99968117912,10701.022291292453,10699.331862377849,10698.670669019732,
10.1,6409.174710282148,6410.3529476466765,6409.644295643703,6412.995744531553,6409.915790242688,6411.455425486699,6410.79232271921,6410.248896461277,6412.152204031162,6412.872077386653,
20.1,5776.173063905303,5771.8605245911285,5772.905440581979,5773.239962149566,5771.462960165028,5774.038212585067,5770.763589382417,5773.144283244481,5771.922489169001,5772.803546367727,
30.1,5397.785437521727,5394.519800724638,5398.489853221781,5399.643784266273,5396.138305048411,5398.0862937987695,5397.448681197907,5398.549184904513,5397.261406845837,5398.517210441294,
40.1,5128.788316171295,5130.612819343382,5129.751101023622,5130.334401033852,5128.870367596607,5130.41070865664,5130.48501484799,5131.80999030079,5130.349883968848,5130.322750524423,
50.1,4921.465127362717,4925.3661835506,4925.106564549545,4924.863232249673,4922.5267106929505,4924.678686002369,4923.333947539755,4924.110501070508,4923.917912300011,4924.5024302898,
60.1,4756.770824303627,4753.5165401561,4754.066936194481,4755.435056941626,4755.386414800573,4755.243989007017,4755.065368497554,4754.598713696391,4756.711009318047,4755.093180444921,
70.1,4611.5892680086,4613.696477901988,4612.4439084907235,4611.074553446767,4612.759349569699,4613.042361427069,4612.007226568151,4611.724358868038,4612.1004125452555,4611.258378634938,
80.1,4489.419895240163,4489.200678574201,4489.079011324099,4487.432066353744,4487.377162111384,4488.322128235058,4487.375690813984,4488.279226031011,4488.4741601091455,4488.837263378886,
90.1,4381.483790141168,4380.409400332402,4378.800735936697,4379.557981987074,4378.545354875195,4378.707937741881,4377.693806390877,4379.315684736291,4379.999364439551,4378.433569970103,
100.1,4277.236908450062,4277.942132876378,4281.491103317638,4279.720679423431,4281.319028553619,4280.236226272752,4280.651142943076,4279.565263279896,4280.1922926541465,4281.337138073028,
110.1,4199.959682050589,4193.002148715496,4189.873064783512,4194.954536324264,4193.563156636993,4192.167438782069,4193.740505736766,4194.270615417903,4192.499990192282,4192.638644899181,
120.1,4113.431729863234,4113.016568970251,4108.306601918974,4111.0442773640725,4111.43941298287,4111.796813212809,4112.6107750407655,4111.57878570264,4111.888473601483,4111.794892227971,
130.1,4034.6503676631837,4037.3993061720485,4036.4294502491566,4038.186457476605,4038.08038306994,4037.4313402148155,4035.708943957083,4037.614288901329,4036.364346588294,4037.464742908255,
140.1,3969.8643621260767,3970.593033912766,3969.317820059788,3968.5825701858,3968.0534785901004,3969.171208264142,3967.6197306446143,3967.145578281393,3969.7524626585623,3968.522805890126,
150.1,3902.995391160802,3903.0342499652306,3904.3332198563558,3903.7040604988147,3904.4129568529997,3906.4420081791995,3905.7353328380345,3905.0763918128923,3905.040297912617,3903.860326645345,
160.1,3842.715114771899,3846.348227143875,3847.555711569543,3844.7627231958186,3843.0806642121397,3844.5047168717006,3843.406595596774,3844.3161093900103,3843.568894075314,3844.897982258428,
170.1,3787.492006649116,3787.5164030352125,3788.4331217640624,3788.937717080294,3787.6556160589266,3788.924109895647,3789.340521657042,3789.0461215970577,3788.6617638880703,3787.9626552488953,
180.1,3737.6725849397194,3737.6427833455164,3735.6035337661515,3733.685082182464,3735.847580787405,3736.013949766341,3735.590981075954,3735.977755225524,3736.234776213036,3735.01075690111,
190.1,3687.13578039823,3685.103125890404,3683.7019001996578,3685.146469888569,3684.9100820703434,3685.024866123863,3686.638094327782,3684.475864870805,3684.9501388968783,3685.100039259986,
200.1,3636.3140737728636,3636.7818484335075,3638.4804403525513,3637.148392261115,3638.206412954263,3635.3387171394456,3638.5664975135055,3637.848229629752,3637.7145636550067,3638.042088362714,
210.1,3589.345484240093,3593.4554507043244,3592.530879033265,3592.5296561120804,3593.400257530137,3592.4056060013604,3591.9409476545397,3592.6806691411557,3592.6976918421246,3593.16084114558,
220.1,3547.7850447901947,3549.0185492598803,3549.4488936029015,3545.562782483429,3547.2201970449214,3549.11331632851,3547.649021459456,3548.4109805920784,3547.9537894188206,3549.344539160646,
230.1,3505.7718131834795,3508.4979869860954,3508.111463751739,3509.1662712035327,3507.2642701685913,3507.907537276222,3509.140488156611,3506.968401690046,3508.020421699603,3507.382346456128,
240.1,3474.741962373217,3468.3184650774697,3467.1562675162436,3467.0068967658017,3468.321315202334,3468.462170927864,3468.527208921542,3469.8624049103305,3466.580178220282,3468.4171724065345,
