Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8592.971909440745,8362.263645149333,8279.697000872802,8192.08756416282,8149.558599885766,8095.0046325513185,8062.4138813668,8022.977598309904,7998.502752042629,7977.784559319665,
10.1,4301.214982228312,4074.992002003379,3994.468461198176,3907.242848662839,3861.717909655106,3805.787584955523,3774.2240023043473,3735.9444871621267,3711.313988952959,3690.3915002975004,
20.1,3660.8082842623207,3437.898458843872,3355.2001247935627,3266.399165292415,3222.3032636799835,3167.8351470696357,3135.7726601730888,3095.0259818768122,3072.0758098879264,3052.175827848177,
30.1,3284.504936590784,3061.6726795044983,2978.6834930460564,2892.514399319563,2845.2929402751856,2790.1923640602763,2761.4536387244702,2720.310227307952,2697.3413526792124,2674.9209295922583,
40.1,3017.0404501323587,2794.811265190871,2713.942172453912,2624.6082114521423,2579.275185519898,2524.106234577312,2494.9628241336877,2454.861675441665,2432.280864370479,2409.150593023036,
50.1,2815.2343256811523,2591.981458430095,2507.250502848938,2418.959224837683,2374.6054985158257,2317.3586777926316,2287.243787002748,2247.4224205651185,2224.3633218872524,2203.7163252414557,
60.1,2652.7687480837203,2421.0404497282643,2335.2697367075116,2248.17477200401,2204.4263829779816,2149.8543297918286,2117.397980445025,2078.471160235672,2055.9974818139194,2034.567726757893,
70.1,2505.8310813104217,2275.3981938142865,2192.1530400777247,2107.056648869016,2062.1193248061904,2004.6370477692126,1973.748800932616,1935.1426250009183,1914.3050222489287,1892.3251253120634,
80.1,2381.032322309856,2152.5656448165823,2069.484532275512,1981.4907154855555,1938.9878256481295,1883.345759689875,1853.4808718004426,1813.2430965527706,1790.7011846291807,1771.9419343922814,
90.1,2265.8774259883558,2043.9381827494753,1961.2609771820205,1872.665727881008,1827.5428844281973,1776.6691689291088,1745.817669270027,1706.5314942615505,1684.0251169810322,1662.568954700131,
100.1,2170.5314875286417,1945.1992637516196,1863.7497407250517,1776.6093357180944,1732.9812647512995,1679.4083457413428,1648.9003455618817,1611.2381792138647,1585.3480484563981,1566.4322940970094,
110.1,2077.2752463170973,1860.6272956043233,1777.4372819557186,1689.044984573987,1645.731591069224,1593.4213487435843,1561.69547437916,1523.3330186776943,1500.0524449365032,1480.082070707054,
