Chi(proportion),T_avg UE(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Proportion of UE active,Eff chi mean BSs,Eff chi active UEs,T_Avg Active UE(kBps)
0.8,151.6570640009184,1.1525936864069812E-5,0.07047796787983868,0.0,0.9295220321201622,4.893403384041457,0.9134552631578982,0.08654473684210531,0.6335481081081064,0.06923578947368442,1752.860416075034
0.62,201.39547316038892,1.1479541970142166E-5,0.09344866204155662,0.0,0.9065513379584429,4.8856312383466465,0.88523859649123,0.11476140350877254,0.4863105729729749,0.07115207017543866,1755.0348064448424
0.42,304.192483444873,1.155931437090517E-5,0.14071835274734654,0.0,0.8592816472526539,4.888629670070548,0.8275999999999963,0.17240000000000003,0.3248974702702708,0.07240800000000008,1764.657431831683
0.28,429.42438936849106,1.1422688757201837E-5,0.2009895182749937,0.0,0.7990104817250064,4.884942745849343,0.7551203007518702,0.24487969924811928,0.21355796756756754,0.06856631578947393,1753.5884710600624
0.19,752.0909037607066,1.1431781737162736E-5,0.3460055953721635,0.0,0.6539944046278366,4.865706991433824,0.5760263157894712,0.4239736842105276,0.14052934054054045,0.08055500000000015,1773.9262533672086
0.15,990.7314668321642,1.1294338721886689E-5,0.45975470150765313,0.0,0.5402452984923469,4.857624911893299,0.4388771929824587,0.5611228070175426,0.10866356756756756,0.08416842105263167,1766.0272968173538
0.14,990.39692208317,1.1290524911748154E-5,0.4598877843973595,0.0,0.5401122156026404,4.856352684273838,0.44005263157894925,0.5599473684210516,0.10115234594594588,0.07839263157894719,1768.8102781705793
0.18,748.5843103100226,1.1378481516712335E-5,0.3468424251366084,0.0,0.6531575748633899,4.866594997814345,0.5764999999999978,0.42350000000000115,0.13314240000000035,0.07623000000000053,1768.0325328674908
0.26,499.04663041268594,1.137826317340924E-5,0.23325455049767496,0.0,0.766745449502325,4.878251795496679,0.7154649122807007,0.28453508771929725,0.19649254054054052,0.07397912280701768,1753.6566154755233
0.39,335.2268086685885,1.146475685646575E-5,0.15564082271775923,0.0,0.8443591772822409,4.880805809761426,0.8096608187134536,0.19033918128655297,0.299712259459458,0.07423228070175465,1761.1658056213678
0.51,251.05262599623134,1.1447999745428144E-5,0.117211901453872,0.0,0.8827880985461275,4.886983250726968,0.8566359649122792,0.14336403508771897,0.3978926270270237,0.07311565789473694,1751.6301156783386
0.59,216.25801451932338,1.1504926372428037E-5,0.1008405077156956,0.0,0.8991594922843031,4.893577236497215,0.8765187969924831,0.1234812030075182,0.4622742486486461,0.0728539097744364,1751.6760230461082
0.64,188.96760636170788,1.1489230466791838E-5,0.08802557048271949,0.0,0.91197442951728,4.891150729340579,0.892049342105266,0.10795065789473715,0.5035838270270272,0.06908842105263166,1750.9890723022068
0.65,189.00206424959643,1.1491325506375491E-5,0.08846094763024416,0.0,0.9115390523697563,4.895940256809765,0.8918585526315814,0.1081414473684216,0.5113848648648622,0.07029194078947378,1747.7834404257635
0.68,178.2889351851454,1.1517465212960379E-5,0.08285002188123133,0.0,0.9171499781187709,4.892225145688117,0.8982043343653278,0.10179566563467576,0.5367339243243323,0.06922105263157921,1751.6388936076003
0.72,168.01773837215106,1.149241330465514E-5,0.07819673811672548,0.0,0.9218032618832744,4.890868905628476,0.9040438596491256,0.09595614035087885,0.569520778378381,0.0690884210526318,1751.1580416034365
0.75,167.51901853071055,1.1458300867500587E-5,0.07832026495519027,0.0,0.9216797350448093,4.88893611287524,0.9043918128654997,0.09560818713450456,0.5921610810810795,0.07170614035087688,1752.3412561286982
0.78,158.47671665199647,1.1442018942274153E-5,0.0740597018150618,0.0,0.9259402981849374,4.887938730462873,0.9093822714681448,0.09061772853185616,0.6176183351351294,0.07068182825484759,1748.87520041006
0.8,150.9454244503878,1.1471852258229468E-5,0.07049457983682522,0.0,0.9295054201631754,4.889752000783086,0.9138500000000044,0.08614999999999995,0.6325725405405392,0.06892000000000023,1752.521500038101
0.85,144.14848527227252,1.1503049124727337E-5,0.06687745402514625,0.0,0.9331225459748524,4.889490528382472,0.9177593984962362,0.08224060150375954,0.675273081081082,0.06990451127819554,1752.4245950389507
0.93,131.09897108655636,1.1458050072965032E-5,0.06140234200832054,0.0,0.938597657991679,4.894031487309912,0.9247940503432495,0.0752059496567507,0.740179459459458,0.06994153318077795,1743.4629839842535
0.99,126.36362887768783,1.1524362953645144E-5,0.05868849357552735,0.0,0.9413115064244737,4.890423223022732,0.9280570175438574,0.07194298245614023,0.7883568000000016,0.07122355263157897,1756.812275174733
1.0,120.92416276436175,1.1487795462614381E-5,0.05617572771051638,0.0,0.9438242722894834,4.888081302262294,0.9310021052631658,0.06899789473684216,0.7982789189189138,0.06899789473684216,1752.6031440833897
0.9400000000000001,132.0461740003431,1.1540835607629985E-5,0.06101644658188587,0.0,0.9389835534181128,4.887913604320082,0.9249336384439352,0.07506636155606417,0.7488700540540534,0.07056237986270088,1759.1571485135485
