Chi(proportion),T_avg UE(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Proportion of UE active,Eff chi mean BSs,Eff chi active UEs,T_Avg Active UE(kBps)
0.8,565.1248071966323,4.294948534694405E-5,0.3221752682651717,0.0,0.6778247317348292,7.321825719633767,0.42365789473684057,0.5763421052631588,0.7756038918919006,0.46107368421052636,980.647200105765
0.62,746.7882871673585,4.256693236853933E-5,0.4264906565820391,0.0,0.5735093434179611,7.3047261740593505,0.24401754385964988,0.755982456140351,0.5837102270270281,0.46870912280701954,987.8929235025998
0.42,1008.1186453705415,3.8308508524080524E-5,0.5698233802328203,195.61502153030074,0.4301766197671802,7.121834399896431,0.020336842105263143,0.9796631578947379,0.32998832432432484,0.41145852631578894,1029.1444940602053
0.28,1112.6193438486155,2.9595674546373128E-5,0.6161662989595753,286.9309870628913,0.3838337010404263,6.689037162103054,4.511278195488722E-5,0.999954887218045,0.15678789189189368,0.27998736842105126,1112.667805082405
0.19,1241.938456078614,1.887746453239494E-5,0.6709837506467478,391.3027376133756,0.32901624935325197,5.951875806320515,0.0,1.0,0.06080000000000038,0.1899999999999982,1241.938456078614
0.15,1324.78867500465,1.5102590895053E-5,0.6957698424088042,451.60588315501747,0.3042301575911946,5.566614634670668,0.0,1.0,0.03600000000000063,0.15000000000000283,1324.78867500465
0.14,1317.5678841484744,1.5020273879292617E-5,0.6974288376489376,448.8146310056381,0.3025711623510615,5.567709266447085,0.0,1.0,0.033599999999999866,0.13999999999999932,1317.5678841484744
0.18,1249.7419295595682,1.89960773293054E-5,0.666935185010891,391.16599938980397,0.3330648149891089,5.9483667606337765,0.0,1.0,0.057600000000000644,0.1800000000000043,1249.7419295595682
0.26,1140.676034326794,2.6007413582650925E-5,0.6297844325080995,312.8784750690079,0.3702155674919007,6.485811503909586,0.0,1.0,0.12479999999999696,0.25999999999999646,1140.676034326794
0.39,1046.2994537738257,3.5783441319064815E-5,0.5860188920273147,238.79884874010068,0.4139811079726851,7.004538585129602,0.005538011695906452,0.9944619883040969,0.2793707027027018,0.3878401754385909,1052.1421182600886
0.51,904.3640943732836,4.123900270342169E-5,0.5153894626619755,1.1208621784185222,0.4846105373380242,7.251067004980494,0.09638596491228109,0.90361403508772,0.4495531459459473,0.4608431578947366,1000.8773625682303
0.59,795.379533073943,4.231419115953385E-5,0.4516103285253852,0.0,0.5483896714746154,7.2905070371097125,0.197924812030075,0.8020751879699248,0.5471092324324321,0.473224360902252,991.7177619573127
0.64,703.03204111628,4.2744348099869895E-5,0.4011645968426393,0.0,0.5988354031573608,7.31138551775271,0.2871480263157893,0.7128519736842106,0.6086517621621613,0.4562252631578946,986.2838262996071
0.65,702.8856255791161,4.273544603521022E-5,0.40134081814929895,0.0,0.5986591818507017,7.311144132497858,0.28733881578947396,0.7126611842105273,0.6182223783783772,0.4632297697368423,986.3399383722135
0.68,663.4269476812194,4.285738082020684E-5,0.3782128562264975,0.0,0.6217871437735027,7.314845696516487,0.3267182662538701,0.6732817337461311,0.651473816216215,0.45783157894736864,985.4475732507696
0.72,627.7783567324649,4.2940039600500625E-5,0.3584080831936001,0.0,0.641591916806399,7.318805543627156,0.3622426900584813,0.6377573099415182,0.6934837621621612,0.4591852631578945,984.4250459379062
0.75,626.2865933347701,4.283800298409833E-5,0.35884926667792616,0.0,0.6411507333220748,7.321088331826962,0.3615964912280718,0.6384035087719266,0.7218972972972989,0.4788026315789484,981.067253012355
0.78,594.0890894006445,4.2893232254726564E-5,0.3407164864654828,0.0,0.6592835135345165,7.323409802202812,0.3941357340720211,0.6058642659279787,0.7540112432432459,0.4725741274238239,980.6274085944558
0.8,565.9928070803929,4.301545333810991E-5,0.3237908985661335,0.0,0.6762091014338658,7.325455828884911,0.42263947368420934,0.5773605263157895,0.7758235675675774,0.4618884210526314,980.3376689330377
0.85,538.9041555408625,4.3004551612160785E-5,0.3081845912543636,0.0,0.6918154087456369,7.325158697206039,0.45062656641604015,0.5493734335839607,0.8259335135135153,0.46696741854636614,980.9349071468577
0.93,490.8550825432808,4.290073421428281E-5,0.2815809429542093,0.0,0.7184190570457907,7.326052785874377,0.497700228832952,0.5022997711670479,0.9071290378378398,0.46713878718535434,977.2163372799467
0.99,472.96227764065003,4.3134159720827294E-5,0.269752803760638,0.0,0.7302471962393614,7.327082981293353,0.5175833333333313,0.4824166666666687,0.9663684324324331,0.47759249999999587,980.3799071364299
1.0,451.84186320834357,4.292497700479254E-5,0.2597523720511848,0.0,0.7402476279488164,7.328389246501299,0.5375136842105264,0.4624863157894742,0.9771135135135112,0.4624863157894742,976.9836430587532
0.9400000000000001,491.74892228406253,4.29788558076271E-5,0.28198446811711764,0.0,0.7180155318828814,7.327590832454185,0.49764073226544625,0.5023592677345536,0.9165030486486608,0.47221771167047977,978.9384016888953
