Chi(proportion),T_avg UE(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Proportion of UE active,Eff chi mean BSs,Eff chi active UEs,T_Avg Active UE(kBps)
0.8,125.78320091149226,9.55952326927342E-6,0.055389858669386574,0.0,0.9446101413306152,4.518742550854968,0.9343421052631624,0.0656578947368422,0.6247524324324298,0.052526315789474115,1916.0697851827501
0.62,165.82783379323484,9.452186526214388E-6,0.07377799211789371,0.0,0.9262220078821066,4.514799163473613,0.9128947368421048,0.08710526315789446,0.4806340540540556,0.05400526315789487,1904.2299915328258
0.42,247.4482248561849,9.403032544535041E-6,0.11089706596069779,0.0,0.8891029340393032,4.517268904873088,0.8692736842105259,0.1307263157894738,0.3224987027027045,0.05490505263157873,1894.3316991544934
0.28,354.4586713129359,9.428600656924108E-6,0.15765870510677313,0.0,0.8423412948932268,4.510891032725904,0.8139248120300808,0.1860751879699237,0.21212497297297325,0.05210105263157947,1905.177541893643
0.19,620.3109170396441,9.428725939002594E-6,0.2741324919584156,0.0,0.7258675080415848,4.501406332350817,0.6765263157894779,0.32347368421052525,0.1410087567567572,0.06145999999999998,1918.143283411305
0.15,823.6192116981028,9.389259013358361E-6,0.36144191523295033,0.0,0.6385580847670504,4.488485838884108,0.5719824561403498,0.428017543859651,0.10958351351351388,0.06420263157894744,1924.0347934876368
0.14,821.8631841273641,9.369240299051954E-6,0.36391960538004514,0.0,0.6360803946199547,4.49563149331321,0.5704210526315777,0.4295789473684236,0.10261394594594575,0.06014105263157869,1913.7911065013247
0.18,619.410513029872,9.41503979805406E-6,0.27351240660076753,0.0,0.7264875933992335,4.499423209105775,0.6766052631578992,0.32339473684210446,0.13371859459459384,0.05821105263157941,1915.7531020914698
0.26,415.27798431419114,9.468338042363561E-6,0.18309347785965882,0.0,0.816906522140342,4.505943449723473,0.783394736842106,0.21660526315789597,0.1958390270270272,0.05631736842105313,1917.640785624712
0.39,277.64010951161305,9.495291745297135E-6,0.12311975192014668,0.0,0.8768802480798519,4.51793181112023,0.8544678362573164,0.14553216374269182,0.29755945945945833,0.05675754385964977,1908.180524635119
0.51,209.17536456145115,9.538396624002188E-6,0.09255869247020293,0.0,0.9074413075297971,4.521994106251221,0.8904517543859682,0.10954824561403562,0.3937227567567553,0.055869605263158144,1909.4288016422784
0.59,178.62172369044467,9.502675700331636E-6,0.07916390245734589,0.0,0.9208360975426552,4.518429672952989,0.9063609022556329,0.09363909774436037,0.45679394594594513,0.055247067669173235,1907.9617755654997
0.64,155.964368545827,9.482633607586272E-6,0.06908150893341244,0.0,0.9309184910665864,4.51701806890348,0.9180427631578915,0.08195723684210501,0.49777816216216386,0.052452631578947834,1903.1940950455303
0.65,156.17910843112097,9.49568979261215E-6,0.06919253257404939,0.0,0.9308074674259516,4.51684802586268,0.9181414473684184,0.0818585526315789,0.5044913513513474,0.053208059210525974,1908.5455360015706
0.68,147.2173450870672,9.510240492624535E-6,0.06512109882768659,0.0,0.9348789011723135,4.519153683654484,0.9227523219814165,0.07724767801857561,0.5299919999999998,0.05252842105263212,1906.6159907307606
0.72,140.10428111737,9.583132828428118E-6,0.0617202723531589,0.0,0.9382797276468409,4.523569104920989,0.9267807017543898,0.07321929824561493,0.5619502702702673,0.05271789473684257,1914.4379791644096
0.75,139.16686876531938,9.519013823547865E-6,0.06169949009614167,0.0,0.9383005099038583,4.521916610692282,0.9269824561403536,0.07301754385965002,0.585194594594593,0.054763157894737145,1906.1962105846585
0.78,132.15651178904702,9.541700151169207E-6,0.05831476065418491,0.0,0.9416852393458143,4.520042134125822,0.930864265927978,0.06913573407202206,0.6085897297297245,0.05392587257617731,1911.930161765101
0.8,125.20631717712216,9.515680105461289E-6,0.05553461845054945,0.0,0.9444653815494497,4.5220168238583724,0.9342815789473714,0.06571842105263173,0.6245059459459454,0.0525747368421058,1906.0444427263617
0.85,119.72004709983572,9.553659758566906E-6,0.05298655731860192,0.0,0.9470134426813981,4.524900870793036,0.9372506265664178,0.06274937343358343,0.6634686486486485,0.0533369674185461,1908.7954540065589
0.93,108.74384733422119,9.504212257010947E-6,0.048341734063492264,0.0,0.9516582659365064,4.523486942550105,0.942803203661329,0.05719679633867305,0.7296076216216252,0.05319302059496567,1901.801777134679
0.99,104.41170865115298,9.522347828985144E-6,0.04618344620539369,0.0,0.953816553794606,4.520711060246788,0.9452390350877217,0.05476096491228099,0.777112540540545,0.05421335526315801,1907.2769762757828
1.0,99.68497286267724,9.470072421954316E-6,0.04442560956609527,0.0,0.955574390433905,4.52380638007209,0.9472905263157778,0.052709473684210986,0.7859189189189258,0.052709473684210986,1891.6493392809002
0.9400000000000001,108.61932895188508,9.49332935039475E-6,0.048241382112516704,0.0,0.951758617887484,4.519910066691994,0.9429290617848973,0.05707093821510329,0.7368736216216228,0.05364668192219609,1903.949617582513
