Chi(proportion),T_avg UE(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Proportion of UE active,Eff chi mean BSs,Eff chi active UEs,T_Avg Active UE(kBps)
0.8,324.06854739228345,2.4629209601813564E-5,0.17812402425696125,0.0,0.8218759757430388,6.3683733827187945,0.7327973684210546,0.2672026315789464,0.7385184864864835,0.21376210526315803,1212.7437924802496
0.62,432.96107540210653,2.4678781297920003E-5,0.23763099347497535,0.0,0.7623690065250244,6.3669765436930685,0.6445789473684209,0.35542105263157964,0.5653944216216213,0.22036105263157849,1218.2156957634775
0.42,647.8160826497631,2.4617011140691053E-5,0.35611328638058715,0.0,0.6438867136194129,6.3661095276987325,0.46825789473684426,0.5317421052631557,0.3727711135135136,0.22333168421052652,1218.3259183710825
0.28,917.1830632425705,2.4397069482252322E-5,0.4999473600365577,0.0,0.5000526399634424,6.338510591526235,0.25539849624060085,0.7446015037593908,0.23764220540540554,0.20848842105263207,1231.808363691373
0.19,1303.0851608655432,1.9806894445156226E-5,0.6990050926776333,445.1905424121849,0.3009949073223673,5.986167269949952,0.001842105263157894,0.9981578947368418,0.12121137297297307,0.1896499999999984,1305.4851225298808
0.15,1371.4334679167832,1.5634341534251313E-5,0.7226027936458542,515.0840693059181,0.27739720635414555,5.599630069970812,0.0,1.0,0.07199740540540665,0.15000000000000283,1371.4334679167832
0.14,1379.5897400349525,1.572732303639844E-5,0.7187375313529718,514.388962632432,0.28126246864703,5.595497868510052,0.0,1.0,0.06719939459459433,0.13999999999999932,1379.5897400349525
0.18,1303.7820722369465,1.981748749800158E-5,0.6956147946667437,447.8854853112724,0.304385205333257,5.984034145838649,0.0016315789473684212,0.9983684210526318,0.1148271567567577,0.17970631578947768,1305.915756580985
0.26,1054.0352644506856,2.4032004029475632E-5,0.5727096822423883,0.0,0.42729031775761184,6.309393761944343,0.1512982456140361,0.8487017543859658,0.21274577297297326,0.22066245614035293,1242.052275153858
0.39,719.3855780159091,2.4602986768144117E-5,0.3934315296446807,0.0,0.6065684703553194,6.356577617541222,0.41260233918128847,0.5873976608187131,0.3425675675675658,0.22908508771930106,1224.7663889804246
0.51,539.6999561731216,2.4610318001494342E-5,0.2965258733000729,0.0,0.703474126699927,6.364531775003846,0.5570350877192964,0.44296491228070345,0.458872086486489,0.22591210526315858,1218.4428822880152
0.59,462.82666661536206,2.4622378663937248E-5,0.25545082203365527,0.0,0.7445491779663452,6.3706886026140115,0.6185977443609054,0.3814022556390931,0.5357021405405396,0.22502733082706664,1213.5441526887898
0.64,405.4947792609109,2.4654082579063404E-5,0.22252551805630716,0.0,0.7774744819436917,6.368250451962858,0.6659440789473663,0.33405592105263016,0.5857833513513517,0.21379578947368463,1213.964294497511
0.65,403.9806967677649,2.4562026363480107E-5,0.22351473952995118,0.0,0.7764852604700484,6.371485481494878,0.6659605263157885,0.33403947368420983,0.5950655135135134,0.21712565789473726,1209.5073868900693
0.68,382.4972337335091,2.4709321299184764E-5,0.20895928340184272,0.0,0.791040716598158,6.368028269054917,0.6852074303405565,0.31479256965944324,0.6239415351351352,0.21405894736842127,1215.13663026557
0.72,360.04932500015167,2.4627373830010404E-5,0.1981815263702981,0.0,0.801818473629703,6.370275161353981,0.7029122807017544,0.2970877192982454,0.6624653837837864,0.21390315789473738,1211.8621083653888
0.75,359.8309590265216,2.4612437597413997E-5,0.19769284064074155,0.0,0.8023071593592598,6.368473893459302,0.7030935672514623,0.2969064327485375,0.6897178378378375,0.2226798245614047,1211.965403878504
0.78,341.23496511405466,2.4637164481234762E-5,0.18803946683240474,0.0,0.811960533167595,6.3716346134167585,0.718329639889197,0.28167036011080276,0.7195866810810783,0.21970288088642684,1211.485058287618
0.8,324.96783350753174,2.469755534657239E-5,0.17818027281201906,0.0,0.8218197271879819,6.369996473746588,0.7323236842105282,0.26767631578947276,0.7393798918918895,0.2141410526315792,1214.0696102244258
0.85,308.00005162883764,2.4578404119981217E-5,0.1698348056358696,0.0,0.8301651943641302,6.370405027497161,0.7451929824561436,0.2548070175438596,0.7871128648648631,0.21658596491228058,1208.9016069787356
0.93,281.56709243543037,2.4608963878856585E-5,0.15604855994932096,0.0,0.8439514400506788,6.375302701893195,0.7669427917620147,0.23305720823798684,0.8639770378378391,0.2167432036613263,1208.141179788421
0.99,270.3882358547618,2.4659407109954294E-5,0.14842290576847905,0.0,0.8515770942315224,6.3708115705760004,0.7767171052631575,0.22328289473684282,0.9208605405405369,0.22105006578947367,1210.9118719757414
1.0,259.0716256912253,2.461180444066638E-5,0.14278926616624432,0.0,0.8572107338337563,6.372130833909776,0.7854926315789497,0.2145073684210528,0.9315545945945958,0.2145073684210528,1207.7363161814203
0.9400000000000001,281.1533437037129,2.457280223970456E-5,0.15585664505396066,0.0,0.8441433549460398,6.375666777351718,0.766748283752861,0.23325171624714003,0.8727793297297256,0.21925661327231175,1205.4177322325454
