Chi(proportion),T_avg UE(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Proportion of UE active,Eff chi mean BSs,Eff chi active UEs,T_Avg Active UE(kBps)
0.8,780.0119706870637,5.928090977221684E-5,0.42498605514148974,10.810743620318386,0.5750139448585105,7.749320638108105,1.31578947368421E-4,0.9998684210526316,0.639945513513503,0.7998947368420942,780.1124507215162
0.62,833.9275763324163,4.7533871850947835E-5,0.44885163335410044,14.461514842767498,0.5511483666458992,7.393993246638136,0.0,1.0,0.3720000000000091,0.6200000000000039,833.9275763324163
0.42,910.0162192783629,3.458061633257777E-5,0.48081684745789355,21.600419366249362,0.5191831525421065,6.884695484802288,0.0,1.0,0.1680000000000037,0.4200000000000028,910.0162192783629
0.28,983.4690890168853,2.6160277767849117E-5,0.5067882596845703,30.66783910077433,0.4932117403154296,6.429873584736134,0.0,1.0,0.07840000000000091,0.27999999999999864,983.4690890168853
0.19,1099.9206105200335,1.6718793279904525E-5,0.5582145708822956,53.07387589916142,0.441785429117704,5.719741456126744,0.0,1.0,0.03040000000000019,0.1899999999999982,1099.9206105200335
0.15,1166.2729272134973,1.329551137023389E-5,0.582136703931537,65.4508386414093,0.4178632960684627,5.346042377337984,0.0,1.0,0.018000000000000314,0.15000000000000283,1166.2729272134973
0.14,1161.375245315831,1.3239677796600472E-5,0.5820696441700342,67.74754205651263,0.4179303558299658,5.347480514470085,0.0,1.0,0.016799999999999933,0.13999999999999932,1161.375245315831
0.18,1099.502746947092,1.6712441753595806E-5,0.5587484782553159,52.60534930040649,0.4412515217446833,5.719278501182885,0.0,1.0,0.028800000000000322,0.1800000000000043,1099.502746947092
0.26,1013.2096821039578,2.3101180751970223E-5,0.5214931247319391,34.98542265906457,0.47850687526806085,6.235576432956358,0.0,1.0,0.06239999999999849,0.25999999999999646,1013.2096821039578
0.39,930.829465304639,3.18343677134187E-5,0.4894689495375879,23.962666127020583,0.5105310504624119,6.753096020256159,0.0,1.0,0.14039999999999966,0.389999999999991,930.829465304639
0.51,875.2146139589701,3.990978639652906E-5,0.4663044604935511,18.139531710345686,0.5336955395064491,7.1159818295668975,0.0,1.0,0.24479999999999827,0.5099999999999938,875.2146139589701
0.59,847.1008117071904,4.506576318282253E-5,0.4524479306659926,15.151801172220855,0.5475520693340077,7.304198211558107,0.0,1.0,0.3303999999999977,0.5899999999999946,847.1008117071904
0.64,821.8696427462822,4.9969674278973946E-5,0.4423354041829369,13.555972066328572,0.5576645958170628,7.472347191421418,0.0,1.0,0.4096000000000075,0.6399999999999892,821.8696427462822
0.65,823.1709057036147,5.004879106677986E-5,0.44270128300354755,13.757552481086517,0.5572987169964522,7.473511917489018,0.0,1.0,0.4159999999999971,0.6499999999999878,823.1709057036147
0.68,811.0529937481657,5.239402339613163E-5,0.43858984234150855,12.918477819456895,0.5614101576584919,7.549972543619532,0.0,1.0,0.46240000000000214,0.679999999999992,811.0529937481657
0.72,800.6413903947703,5.476387110300226E-5,0.4332860933976434,11.9786732041385,0.5667139066023569,7.618370918966807,0.0,1.0,0.5183999999999968,0.7200000000000172,800.6413903947703
0.75,800.8959060368013,5.478127997291715E-5,0.4332570077107276,11.988886204455731,0.5667429922892724,7.618784228271087,0.0,1.0,0.5400000000000066,0.75,800.8959060368013
0.78,790.4688602063272,5.7071851706896785E-5,0.42814241779893547,11.3636479908298,0.5718575822010638,7.683579313892477,1.3850415512465373E-5,0.9999861495844875,0.5927957837837918,0.7799891966758823,790.4795767136786
0.8,781.7715230834415,5.941463575434152E-5,0.4244876533629774,10.797027583256481,0.5755123466370232,7.748282415503517,1.4210526315789474E-4,0.9998578947368424,0.639944648648638,0.7998863157894626,781.8819107368745
0.85,772.2538560542821,6.162585771313177E-5,0.4216263935950916,10.229504195833407,0.5783736064049075,7.8097809763754835,6.115288220551376E-4,0.9993884711779459,0.7136930810810933,0.8494802005012678,772.7231489709017
0.93,756.5433756944998,6.612189103569933E-5,0.4117854574259288,8.162843935746979,0.5882145425740708,7.9129766473213206,0.006643020594965732,0.9933569794050309,0.8512144216216108,0.9238219908466785,761.5888926866385
0.99,739.8256268265127,6.747209716657793E-5,0.40464516639573905,6.044189842091869,0.5953548336042619,7.9515199836872315,0.015491228070175665,0.9845087719298249,0.9379730918918898,0.9746636842105295,751.46184810425
1.0,724.8911130993332,6.886465574443649E-5,0.3954024236598046,2.9313458836803523,0.6045975763401951,7.980287562218887,0.03204421052631574,0.9679557894736835,0.9711491891891908,0.9679557894736835,748.9006696365748
0.9400000000000001,753.9722854987134,6.589717775258752E-5,0.4091702571192442,7.9077238056434025,0.5908297428807562,7.906953330830582,0.006668192219679705,0.9933318077803167,0.8604180756756721,0.9337318993135042,759.0380741735701
