Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8877.33370638884,8632.563297632742,8510.424960653334,7409.423303089687,6479.075344084528,5552.633274130079,5066.367664040618,4457.867776350371,4126.702429797268,3845.8699303596013,
10.1,4596.00915390307,4346.334962445387,4250.51488690593,3696.627621783561,3231.4309001933048,2757.1752609179534,2520.5396204665562,2221.093773098865,2054.5896527986256,1910.261305177491,
20.1,3952.566739911756,3711.525280585802,3616.251422378066,3134.019867800916,2735.2354926192274,2345.4858732263106,2135.3093531306195,1884.595188257668,1746.5163513418102,1622.2330933486166,
30.1,3576.9795583434466,3333.6247718244567,3244.9871795098275,2806.8362769770424,2455.579454116322,2097.6837609581357,1917.4056800724193,1688.4910822085135,1558.3853445997806,1450.5274154192768,
40.1,3313.2945590603076,3069.0607741763156,2977.7520141095356,2579.4192024973013,2254.9441122981284,1927.9905299047723,1757.555381912606,1549.0589918794867,1432.9370796670053,1333.3108551927055,
50.1,3106.1618806914603,2862.5832479352703,2772.041793797902,2397.1502789372325,2097.1566885960397,1789.8131796419166,1636.0316964673943,1441.7879453980413,1332.2289590467508,1238.3982435854653,
60.1,2938.112598812805,2692.8443296426567,2607.2242534578845,2257.75736921039,1969.4324035446243,1682.7132250390928,1535.893757130716,1354.7163466277066,1249.5939769855595,1161.8025074794082,
70.1,2792.7087156717525,2554.000669728075,2462.685023837668,2126.9834063126705,1862.450822908417,1591.3654591203497,1452.045426940098,1277.3100215467987,1180.2632292998578,1098.965099879283,
80.1,2667.1842775926475,2429.5791471571697,2338.076249852088,2024.0396974758248,1768.2609341770287,1509.8182345056182,1378.0174620308394,1213.6425292298125,1122.9662260319706,1041.918115207789,
90.1,2558.241991043289,2317.9567336781815,2234.414110867053,1925.086435602872,1680.9134140641427,1439.0798526364615,1312.5644588144735,1156.2909383888555,1068.3111175400013,993.0027388505025,
100.1,2463.6110884822547,2220.3376940809158,2132.5143635514964,1843.9278049078398,1606.496293552439,1374.406297223061,1253.5156521656286,1107.44876713954,1022.7922009027606,948.6650942600378,
110.1,2376.485948982341,2133.7516699532575,2043.3441284207722,1765.4037326583461,1541.2295234777232,1319.305054486641,1204.056234415283,1058.2868008715,980.6462679730605,911.5525153677255,
120.1,2298.996549782201,2053.9016403710634,1968.9769173498726,1693.8942910115452,1481.5800600479927,1266.6786302083704,1158.6276001477647,1017.901987870763,938.7300523081487,873.1587126895568,
130.1,2226.155067923847,1980.646698624174,1896.9852762228516,1631.1281287630673,1425.2695006341874,1218.6894484647921,1112.3035571500293,979.3386052366128,903.4803676344958,844.3570685698063,
140.1,2157.4023371666212,1914.5445987424644,1827.6446577667793,1578.087177324426,1371.9516909668641,1174.5933433666858,1070.5269557981662,941.9814410075268,872.1190248939112,811.9346287434089,
150.1,2092.4991005250236,1848.8685468547205,1764.4229080597008,1519.3161550158802,1326.831112732541,1134.0375373517181,1036.8924930172986,911.7415482479488,842.5847490932043,783.4554494839915,
160.1,2032.5244707251345,1791.4797236378793,1708.5272884362792,1468.9861225578227,1283.3676221541764,1095.029623721446,999.6210070002297,881.3060989891641,814.7273860573116,757.4034443432812,
170.1,1975.3924800487346,1739.1696155289744,1656.48175717536,1423.9579859875594,1239.9243169300482,1060.7354433548494,967.3757728396569,852.5234746258371,787.5891086968622,731.5703364934363,
180.1,1922.8725614020136,1688.8770513772577,1600.7969277574712,1375.8326114317442,1201.5550883405665,1027.5983512684031,940.7076580996024,824.4102692648379,762.2248565548069,709.7039356867871,
190.1,1879.7521649410567,1636.910150004707,1554.0797518006618,1338.3470978362027,1164.935894462322,997.139338736833,908.8575787923205,800.6895373200417,740.1184763187092,688.877150666089,
200.1,1831.6436154048213,1593.3430574679726,1509.1995544166723,1298.7446576390646,1131.741957934073,967.1488153736115,882.180110010228,776.8241421841993,718.9656741442584,668.1224363481921,
210.1,1789.0200161577184,1549.1490164077493,1465.3553034695835,1260.3207416146367,1100.1487237540352,940.4931559656624,856.8834207911547,755.2440337500935,697.392827497733,647.8574865510374,
220.1,1749.1299653760689,1505.0018751491248,1428.8811030838472,1223.3768741866963,1070.7362217101659,913.3692775195047,834.363200543898,733.1982092316141,678.5028341053913,630.2442199231801,
230.1,1709.030148765705,1466.1353673176034,1389.1896817942325,1192.6290367866889,1041.0422557428408,888.2354965333683,810.6938259738083,713.9385740961263,659.2708791742856,613.0424225950826,
240.1,1672.8363167119642,1433.7014297779162,1351.7156276124904,1160.3722995580679,1012.9891431402157,865.1892075593897,790.168338813532,695.4256072686151,643.9335116424159,596.7066688719611,
