Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8993.149558304314,8753.27101245695,8667.098345438515,8569.77067807825,8525.398196092212,8467.498830355917,8434.538355369908,8392.187908210031,8368.75006657595,8346.549104356494,
10.1,4706.344189020012,4466.678818074451,4377.356384595113,4283.945697647779,4238.4527907119345,4180.3389975067075,4148.334057674522,4103.661682099574,4079.409002306445,4057.5649371820764,
20.1,4065.169708801624,3825.5932273876992,3739.6198861991197,3644.497500754295,3599.216088899055,3540.885608780045,3508.0108411540095,3467.1002121503657,3441.057938571125,3418.327169025937,
30.1,3682.3257172028184,3451.2707943542196,3361.090442762053,3270.762320254984,3222.557740556566,3166.5396700453434,3132.874088676599,3089.336904156311,3065.401326188853,3043.4213670073054,
40.1,3426.2424277009327,3182.784868391698,3096.333774214369,3004.4021462814194,2956.8421849131805,2898.6648145616123,2865.9974407080617,2825.7412450375778,2798.218566391776,2775.814696501636,
50.1,3217.291585051164,2977.4672213855915,2890.5894385980923,2796.376146163228,2750.4809017642556,2693.9474022106588,2660.1415849938635,2618.1436313068803,2591.3484474311367,2569.551657969218,
60.1,3048.7650991692603,2805.645654664821,2719.2485363000155,2627.526978698907,2581.8785636432217,2521.759537443142,2489.5982720406455,2450.2284952719006,2422.709521164344,2399.969539126959,
70.1,2904.709221655276,2666.3055953756552,2575.2142394191596,2485.660098301212,2437.3952043878066,2378.8764624698006,2347.1992574308083,2304.147879105941,2278.2311764906676,2256.6564049729827,
80.1,2778.099960960073,2542.1666525843843,2454.9594196241273,2360.9295836508218,2313.2854997981976,2256.1732874115964,2224.885429581415,2181.3392964622444,2155.849896013419,2133.507694057985,
90.1,2672.157634174671,2433.4035852036664,2345.485206852226,2253.0043557549247,2204.4479882136034,2146.448392605497,2115.1993992190223,2071.803384975171,2046.6822048242439,2024.939155499154,
100.1,2574.028536054491,2336.124789523738,2247.7904870458187,2153.354166298302,2104.531360633357,2049.869824204492,2015.91383402504,1975.006486598391,1949.4471712719321,1926.1138934871617,
110.1,2481.2472505290325,2244.8164842784595,2158.2132800761233,2064.147765410824,2020.6100167980294,1961.179795418816,1927.86268012028,1887.229747942186,1861.4830649734456,1838.801285874109,
120.1,2401.1526369805397,2164.0176242945236,2077.8076220749276,1983.6658146795562,1937.744298493826,1879.2809117251043,1847.0544822326879,1805.3139465776007,1780.453182418443,1757.6214090303322,
130.1,2327.920035975145,2089.3565859433083,2000.4483934204854,1911.294590582449,1865.9042777190691,1807.517717570123,1772.8805863307557,1730.8475140929274,1708.490947908897,1685.4327863109904,
